code,title,location
AIC381,Chinese 3A,Burwood (Melbourne)
AIC382,Chinese 3B,Burwood (Melbourne)
AIC383,Chinese 3C,Burwood (Melbourne)
AIC384,Chinese 3D,Burwood (Melbourne)
AIC385,Chinese for Business Purposes A,Burwood (Melbourne)
AIC386,Chinese for Business Purposes B,Burwood (Melbourne)
AIC387,Advanced Chinese for Business Purposes C,Burwood (Melbourne)
AIC389,Advanced Chinese for Business Purposes D,Burwood (Melbourne)
AIE153,History of the Middle East,Burwood (Melbourne)
AIE154,Understanding Middle East Politics,Burwood (Melbourne)
AIE255,Critical Issues in Middle East Politics,Burwood (Melbourne)
AIE334,China: From Empire to Republic,Burwood (Melbourne)
AIE335,"Modern China: Liberation, Cultural Revolution and Reform",Burwood (Melbourne)
AIE364,The Arab-Israeli Conflict,Burwood (Melbourne)
AIF142,Conversational Indonesian B,Burwood (Melbourne)
AIF146,"The Language, Culture and People of Indonesia",Burwood (Melbourne)
AIF241,Formal and Informal Indonesian A,Burwood (Melbourne)
AIF242,Formal and Informal Indonesian B,Burwood (Melbourne)
AIF341,Professional and Academic Indonesian A,Burwood (Melbourne)
AIF342,Professional and Academic Indonesian B,Burwood (Melbourne)
AIF345,Indonesian for Business Purposes,Burwood (Melbourne)
AIF354,History and Development of the Indonesian Language,Burwood (Melbourne)
AIG103,People and Place: An Introduction to Human Geography,Burwood (Melbourne)
AIG211,Geographies of Heritage and Tourism,Burwood (Melbourne)
AIG300,Australian Urban Geography: National and International Perspectives,Burwood (Melbourne)
AIH107,World History Between the Wars 1919 - 1939,Burwood (Melbourne)
AIH108,The Cold War World: 1945-1991,Burwood (Melbourne)
AIH205,Sex and Gender in the British Empire,Burwood (Melbourne)
AIH238,Australia and the Two World Wars,Burwood (Melbourne)
AIH240,History: Interpreting the Past,Burwood (Melbourne)
AIH264,The Holocaust,Burwood (Melbourne)
AIH267,Conflict and Its Legacies in Modern Asia,Burwood (Melbourne)
AIH276,African American History From Slavery to Black Lives Matter,Burwood (Melbourne)
AIH288,Colonial Encounters: From Invasion to Federation,Burwood (Melbourne)
AIH326,Australia's Empire: Colonialism in Papua New Guinea,Burwood (Melbourne)
AIH389,The French Revolution and the Struggle for Freedom,Burwood (Melbourne)
AIH399,Making History,Burwood (Melbourne)
AIM705,Conservation Management Planning,Burwood (Melbourne)
AIM708,World Heritage and International Heritage Practice,Burwood (Melbourne)
AIM709,Intangible Heritage,Burwood (Melbourne)
AIM715,Virtual Heritage,Burwood (Melbourne)
AIM722,Collections and Curatorship,Burwood (Melbourne)
AIM723,Heritage Interpretation,Burwood (Melbourne)
AIM733,Applied Heritage Project,Burwood (Melbourne)
AIM734,Understanding Significance,Burwood (Melbourne)
AIM735,Leadership in Museums and Heritage Organisations,Burwood (Melbourne)
AIM736,"Museums, Heritage and Society",Burwood (Melbourne)
AIP107,Introduction to Politics,Burwood (Melbourne)
AIP116,Visions and Values in Politics,Burwood (Melbourne)
AIP208,Government and Politics of the United States,Burwood (Melbourne)
AIP209,Asylum Challenges in Australia and Asia,Burwood (Melbourne)
AIP211,Politics of Development,Burwood (Melbourne)
AIP230,Understanding Public Policy,Burwood (Melbourne)
AIP243,Europe's Political Transformation,Burwood (Melbourne)
AIP245,Environmental Politics,Burwood (Melbourne)
AIP247,Media and Politics: Campaign Strategies,Burwood (Melbourne)
AIP300,Researching Democracy,Burwood (Melbourne)
AIP301,Political Parties and Social Movements,Burwood (Melbourne)
AIR101,World in Crisis,Burwood (Melbourne)
AIR102,"War, Terrorism and Humanitarian Responses",Burwood (Melbourne)
AIR200,Global Capitalism and Power,Burwood (Melbourne)
AIR202,Australia and the Changing Asia-Pacific,Burwood (Melbourne)
AIR203,Human Rights in World Politics,Burwood (Melbourne)
AIR204,Great Power Relations,Burwood (Melbourne)
AIR242,Key Concepts in International Relations,Burwood (Melbourne)
AIR348,Activists Beyond Borders,Burwood (Melbourne)
AIR349,Diplomacy and the United Nations,Burwood (Melbourne)
AIR701,China and the World,Burwood (Melbourne)
AIR707,The United Nations and International Organisation,Burwood (Melbourne)
AIR717,International Conflict Analysis,Burwood (Melbourne)
AIR720,Transnational Activism and Policy,Burwood (Melbourne)
AIR726,Human Rights in World Politics,Burwood (Melbourne)
AIR728,Global Political Economy,Burwood (Melbourne)
AIR729,Human Security in Global Politics,Burwood (Melbourne)
AIR742,International Relations Theory,Burwood (Melbourne)
AIR747,Contemporary International Politics,Burwood (Melbourne)
AIR748,Security and Strategy,Burwood (Melbourne)
AIR753,Regionalism in International Politics,Burwood (Melbourne)
AIR790,International Relations Internship,Burwood (Melbourne)
AIS101,Intercultural Communication,Burwood (Melbourne)
AIS201,International Studies @ Work,Burwood (Melbourne)
AIS204,"Gender, Globalisation and Development",Burwood (Melbourne)
AIS303,International Studies Capstone Portfolio,Burwood (Melbourne)
AIS330,International Internship A,Burwood (Melbourne)
AIX117,Professional Writing for Work,Burwood (Melbourne)
AIX160,Introduction to University Study,Burwood (Melbourne)
AIX290,Australia Today: An Introduction to Australia,Burwood (Melbourne)
AIX493,Honours Research Design,Burwood (Melbourne)
AIX494,Research Communication,Burwood (Melbourne)
AIX495,Honours Thesis A,Burwood (Melbourne)
AIX496,Honours Thesis B,Burwood (Melbourne)
AIX497,Honours Theory and Debates in the Discipline,Burwood (Melbourne)
AIX499,"Honours, Reading in the Discipline",Burwood (Melbourne)
AIX701,Research Paper,Burwood (Melbourne)
AIX704,Minor Thesis A,Burwood (Melbourne)
AIX705,Minor Thesis B,Burwood (Melbourne)
AIX706,Research Design,Burwood (Melbourne)
ALA101,Advertising Principles and Practices,Burwood (Melbourne)
ALA102,Creative Brand Communication,Burwood (Melbourne)
ALA201,Art Direction and Visualisation,Burwood (Melbourne)
ALA202,Copywriting and Ideation,Burwood (Melbourne)
ALA203,Integrated Communication,Burwood (Melbourne)
ALA302,Transmedia Storytelling,Burwood (Melbourne)
ALA303,International Advertising Campaigns,Burwood (Melbourne)
ALA304,Creative Advertising Campaigns,Burwood (Melbourne)
ALC104,Media Genres: Negotiating Textual Forms and Pleasures,Burwood (Melbourne)
ALC215,Global Media,Burwood (Melbourne)
ALC302,Digital Media Entrepreneurship,Burwood (Melbourne)
ALC304,"The Celebrity Industries: Star Images, Fan Cultures and Performance",Burwood (Melbourne)
ALC305,Media Ecologies,Burwood (Melbourne)
ALC701,Social Media Collaboration,Burwood (Melbourne)
ALC702,Making Sense of Communities Online,Burwood (Melbourne)
ALC703,Digital Curation,Burwood (Melbourne)
ALC708,Social Media Content Creation,Burwood (Melbourne)
ALJ111,News Reporting 1,Burwood (Melbourne)
ALJ112,News Reporting 2,Burwood (Melbourne)
ALJ216,Feature Writing,Burwood (Melbourne)
ALJ218,Audio Journalism,Burwood (Melbourne)
ALJ220,Journalism in Society,Burwood (Melbourne)
ALJ221,Video Journalism,Burwood (Melbourne)
ALJ304,Local Journalism,Burwood (Melbourne)
ALJ313,Journalism Law and Ethics,Burwood (Melbourne)
ALJ330,News Production 1,Burwood (Melbourne)
ALJ331,News Production 2,Burwood (Melbourne)
ALJ710,Multimedia Journalism,Burwood (Melbourne)
ALJ712,Broadcast Journalism,Burwood (Melbourne)
