code,title,credit,type
ECTE203,Signals and Systems,6,2
ECTE212,Electronics,6,2
ECTE213,Engineering Electromagnetics,6,2
ECTE233,Digital Hardware,6,2
ECTE250,Engineering Design and Management 2,6,2
EDCM202,Classroom Management: Creating Positive Learning Environments,6,2
EDEI202,Integrating ICT Across the KLAs,6,2
EDER202,Dean's Scholars Project,6,2
EDKG202,History and Geography in Primary Schools,6,2
EDKL200,Language and Literacy 1: The Early Years,6,2
EDKL202,Language and Literacy 2: Teaching the Constrained Skills in Context,6,2
EDKM201,Mathematics Content and Pedagogy 1,6,2
EDKM202,Mathematics Content and Pedagogy 2,6,2
EDKP201,"Personal Development, Health & Physical Education Content & Pedagogy",6,2
EDPD201,Professional Development 1: The Learning Environment,6,2
EDPD202,Professional Development 2: The Teacher as Managing Professional,6,2
EDPE202,Health Promotion,6,2
EDPE203,Principles and Practices of Coaching,6,2
EDPM201,Performing and Teaching Rhythmic Movement Activities,6,2
EDPM202,Analysis of Games and Sport 1,6,2
EDPM204,Foundations of Movement Skill Acquisition,6,2
EDPM205,Promoting Lifelong Physical Activity,6,2
EDPS200,Education Foundations: Introduction to Teacher Education,6,2
EDPS201,Quality Teaching and Learning in Secondary Education I,6,2
EDPS222,Teachers as Communicators,6,2
EDPX200,Professional Experience Support Module,2,2
EDSM202,Mathematics Pedagogy 1,6,2
EDSS202,Science Pedagogy 1,6,2
EDUP235,Biomechanics For Educators,6,2
EESC202,Shaping Earth's Surface,6,2
EESC203,Biogeography and Environmental Change,6,2
EESC207,Advanced Geospatial Analysis,6,2
EESC209,"G-cubed: Geochemistry, Geochronology, Geophysics",6,2
EESC250,Field Geology,6,2
EESC252,Geology for Engineers I,6,2
ELL 230,Communication Across Cultures,6,2
ELL 272,"Analysing Language, text and meaning",6,2
ENGG202,"Introduction to the F SAE Project - Design, Technology & Management",6,2
ENGG251,Mechanics of Solids,6,2
ENGG252,Engineering Fluid Mechanics,6,2
ENGG255,Professional Option 2,6,2
ENGL271,The Romantics,6,2
ENGL274,Victorians,6,2
ENGL275,US Literature,6,2
ENGL276,Dreams and Visions in Literature and Film,6,2
ENGL277,World Literatures,6,2
ENGL279,Exploring Popular Literature,6,2
ENVE220,Water Quality and Ecological Engineering,6,2
ENVE221,Air and Noise Pollution Control Engineering,6,2
EYAE202,Aboriginal Education for Booris,6,2
EYCD201,Child Development: Concepts and Foundations,6,2
EYDC201,Child Development and Care,6,2
EYED201,Inclusion of Children with Additional Needs in Early Years Education,6,2
EYEM202,Music and Movement in Early Childhood,6,2
EYEN202,Numeracy in Early Childhood,6,2
EYEP201,Effective Partnerships for Early Childhood Professionals,6,2
EYHS202,"Children's Health, Safety and Wellbeing",6,2
EYIT202,STEM in Early Childhood,6,2
EYPD201,Curriculum Content and Programming,6,2
EYPE202,Physical Environments for Learning in the Early Years,6,2
FIN 222,Corporate Finance,6,2
FIN 223,Investment Analysis,6,2
FIN 226,Financial Markets & Institutions,6,2
FIN 241,International Financial Management,6,2
FIN 252,Personal Finance,6,2
FREN230,The Making of France and the French Nation,6,2
FREN241,Intermediate French 1,6,2
FREN242,Intermediate French 2,6,2
GEOG221,"Population Geography: People, Place, Inequality",6,2
GEOG222,"Society and Environment: Resources, Challenges, Futures",6,2
GEOG224,"The Future of Food: Resilience, Communities and Policy",6,2
GEOG231,Maps and Apps for Social Scientists,6,2
GEOG241,Urban Geographies: Just and Sustainable Cities?,6,2
GEOG251,"Disaster Geographies: Risk, Policy, Management",6,2
GEOG292,Social Science Research Internship,6,2
GEOS215,"Sedimentology, Stratigraphy and Palaeoenvironments",6,2
HAS 200,Social Justice in a World of Inequality,6,2
HAS 201,Work Health & Safety,6,2
HAS 202,Introduction to Social Policy,6,2
HAS 205,Quantitative Research Design and Analysis,6,2
HAS 210,Introduction to WHS Risk Management,6,2
HAS 215,Healthy Public Policy,6,2
HAS 220,Becoming a Social Scientist: Interdisciplinary Competencies,6,2
HAS 231,Promoting the Public's Health,6,2
HAS 233,"Leadership, Scholarship and Social Change",6,2
HAS 234,Research Methods in the Social Sciences,6,2
HAS 235,Productivity & Design of Work,6,2
HAS 251,Introduction to Epidemiology,6,2
HAS 262,Explaining Crime,6,2
HAS 265,Food and Society II: Community Settings and Practice,6,2
HAS 270,Sociology of Food and Nutrition,6,2
HIST257,The World After 1945,6,2
HIST262,Ancient History: Rome,6,2
HIST281,Hands-On History,6,2
HIST283,Film and History,6,2
HIST293,China since 1949,6,2
HUMA272,Humanitarian Studies,6,2
INDS205,Indigenous Peoples and the Environment,6,2
INDS206,Aboriginal Art and Culture,6,2
INDS207,Indigeneity in the Contemporary World,6,2
INDS208,Working with Indigenous Communities,6,2
INTS200,Model United Nations,6,2
INTS204,Global Aid and Development: Challenges and Prospects,6,2
INTS206,Methods in International Studies and Politics,6,2
INTS207,"Conflict, Peace & Security",6,2
INTS208,War and Humanitarianism,6,2
ISIT200,Industry Placement,0,2
ISIT204,Principles of eBusiness,6,2
ISIT207,Frontend Web Programming,6,2
ISIT208,Strategic Systems Management,6,2
ISIT212,Corporate Network  Planning and Design,6,2
ISIT219,Knowledge and Information Engineering,6,2
ISIT224,Management Information Systems,6,2
ITAL230,Italy: Past and Present,6,2
ITAL241,Intermediate Italian 1,6,2
ITAL242,Intermediate Italian 2,6,2
JAPA220,The Making of a Globalised Japan,6,2
JAPA241,Intermediate Japanese 1,6,2
JAPA242,Intermediate Japanese 2,6,2
JRNL201,Media Reporting and Storytelling 2,6,2
JRNL202,Mobile Journalism,6,2
JRNL203,Audio Journalism Production 1,6,2
JRNL204,Video Journalism Production 1,6,2
JRNL212,Magazine and Lifestyle Journalism,6,2
JRNL250,Professional Writing 1,6,2
LAW 284,Politics of Justice,6,2
LHA 200,Special Topics A,2,2
LHA 204,Special Topics B,2,2
LLB 220,Property and Trusts A,8,2
LLB 230,Administrative Law,8,2
LLB 240,Law of Torts,8,2
LLB 250,Drafting Skills,2,2
LLB 260,Dispute Management Skills,2,2
LLB 270,Property and Trusts B,8,2
LLB 280,Constitutional Law,8,2
LLB 290,Legal Theory,8,2
LLB2220,Property Law,6,2
LLB2225,Advanced Legal Skills,6,2
LLB2230,Administrative Law,6,2
LLB2240,Law of Torts,6,2
LLB2270,Equity and Trusts,6,2
LLB2280,Constitutional Law,6,2
LLB2290,Jurisprudence,6,2
MAND231,Intermediate Chinese (Mandarin) 1,6,2
MAND232,Intermediate Chinese (Mandarin) 2,6,2
MAND271,Comparative studies of China and Australia 1,6,2
MAND272,Comparative Studies of China and Australia 2,6,2
MARE200,Introduction to Oceanography,6,2
MARK205,Introductory Marketing Research,6,2
MARK213,Marketing Principles,6,2
MARK217,Consumer Behaviour,6,2
MARK220,Public Relations Writing,6,2
MARK221,Public Relations Concepts,6,2
MARK233,Marketing & Digital Communication,6,2
MARK250,Advertising Practice and Creative Strategies,6,2
MARK270,Services Marketing,6,2
MATE201,Structure of Materials,6,2
MATE202,Thermodynamics and Phase Equilibria,6,2
MATE203,Phase Transformations,6,2
MATE204,Mechanical Behaviour of Materials,6,2
MATE205,Materials Characterisation Techniques,6,2
MATH201,Multivariate and Vector Calculus,6,2
MATH202,Differential Equations: Analysis and Applications,6,2
MATH203,Linear Algebra and Groups,6,2
MATH205,Numerical Methods,6,2
MATH212,Mathematical Modelling,6,2
MATH221,Mathematics for Computer Science,6,2
MATH222,Real Analysis,6,2
MATH223,Mathematics for Information Technology,6,2
MATH235,Mathematics Project A,6,2
MATH270,Reflective Communication of Mathematics,6,2
MATH283,Advanced Engineering Mathematics and Statistics,6,2
MATH291,Differential Equations,3,2
MECH201,Engineering Analysis,6,2
MECH203,Mechanical Engineering Practice,0,2
MECH215,Mechanical Engineering Design 1,6,2
MECH226,Machine Dynamics,6,2
MECH252,"Thermodynamics, Experimental Methods and Analysis",6,2
MEDA202,Tangible Media,6,2
MEDI210,Histology,6,2
MEDI211,Control Mechanisms Physiology,6,2
MEDI212,Introduction to Pathophysiology,6,2
MEDI213,Nutritional Physiology,6,2
MEDI220,Musculoskeletal Functional Anatomy,6,2
MEDI221,Exercise Physiology,6,2
MEDI222,Foundations of Biomechanics,6,2
MEDI231,Measurement of diet and health promotion,6,2
MEDI240,Current Services in Indigenous Health,6,2
MEDI241,Aboriginal & Torres Strait Islander Health Research,6,2
MEDI251,Nutritional Epidemiology,6,2
MEDI258,Human Neuromechanics,6,2
MGNT201,Organisational Behaviour,6,2
MGNT205,Recruitment & Selection,6,2
MGNT206,Managing Human Resources,6,2
MGNT207,Employee Relations Management,6,2
MGNT208,Introduction to Management for Professionals A,6,2
MGNT210,Managing Across Cultures,6,2
MGNT220,Organisational Analysis,6,2
MINE211,Surface Mining Methods,6,2
MINE220,Underground Mining Methods,6,2
MINE234,Computer Applications in Mining Engineering,6,2
NMIH205,Cultural Competence in Health Care Practice,6,2
OPS 200,Management and Electronic Business,6,2
OPS 216,Operations Management,6,2
OPS 256,Systems Thinking and Simulation,6,2
OPS 257,Principles of Supply Chain Management,6,2
PHIL218,"Ethics: Good, Bad and Evil",6,2
PHIL219,"Knowledge, Science and Understanding",6,2
PHIL226,Global Ethics,6,2
PHIL227,The Meaning of Life: Absurdity and Existence,6,2
PHIL234,"Philosophy of Mind: Mind, Body and World",6,2
PHIL235,International Studies in Philosophy,6,2
PHIL236,Philosophy in Film and Literature,6,2
PHIL256,"Environmental Philosophy: Animals, Nature and Ethics",6,2
PHYS205,Advanced Modern Physics,6,2
PHYS206,Project in Physics,6,2
PHYS215,"Vibrations, Waves & Optics",6,2
PHYS225,Electromagnetism and Optoelectronics,6,2
PHYS233,Introduction to Environmental Physics,6,2
PHYS235,Mechanics & Thermodynamics,6,2
PHYS255,Radiation Physics,6,2
PHYS295,Astronomy - Concepts of the Universe,6,2
POL 201,Key Concepts and Thinkers in Political Theory,6,2
POL 204,Politics and the Media,6,2
POL 221,Australian Politics,6,2
PSYC216,Psychology of Physical Activity and Health,6,2
PSYC231,Personality,6,2
PSYC234,Biological Psychology and Learning,6,2
PSYC236,Cognition and Perception,6,2
PSYC241,Developmental and Social Psychology,6,2
PSYC250,Quantitative Methods in Psychology,6,2
PSYC251,Psychology of Abnormality,6,2
SCIE292,Science Research Internship,6,2
SCIP200,Chemistry and Molecular Bioscience Studies,6,2
SCIP201,Chemistry and/or Cell and Molecular Biology Research Internship,6,2
SCIP210,"Earth, Atmospheric and Life Sciences Studies",6,2
SCIP211,"Earth, Atmospheric and Life Sciences Research Internship",6,2
SMAH002,"Health for Now, Health for the Future",6,2
SNUG201,Acute Care Nursing,6,2
SNUG202,Evidence Based Practice,6,2
SNUG203,Pathophysiology and Pharmacology for Nurses,6,2
SNUG204,Workplace experience 3,6,2
SNUG205,Continuing Care,6,2
SNUG206,Mental Health – Psychiatric Nursing Care,6,2
SNUG207,Aboriginal and Torres Strait Islander Health,6,2
SNUG208,Workplace Experience 4,6,2
