code,title,campus,semester,year
ARTS 2004,Arts Masterclass: Visiting International Academics,North Terrace Campus,Semester 2,2019
ARTS 2010EX,Arts Festival Internship 2,External,Summer,2019
ARTS 2301,Social Enterprise Internship II,North Terrace Campus,Semester 2,2019
ARTS 3002,Advanced Arts Research Project,North Terrace Campus,Semester 2,2019
ARTS 3003,Advanced Humanities: Theory and Method,North Terrace Campus,Semester 1,2019
ARTS 3005,Liberal Arts & Sciences Internship,North Terrace Campus,Semester 1,2019
ARTS 3005,Liberal Arts & Sciences Internship,North Terrace Campus,Semester 2,2019
ARTS 3006,Science and Society,North Terrace Campus,Semester 1,2019
ARTS 3007,Arts Masterclass: Visiting International Academics,North Terrace Campus,Semester 2,2019
ARTS 3010EX,Arts Festival Internship 3,External,Summer,2019
ARTS 3100,Community Engagement Learning Project,North Terrace Campus,Winter,2019
ARTS 3100,Community Engagement Learning Project,North Terrace Campus,Summer,2019
ARTS 3200,Arts Internship,North Terrace Campus,Semester 2,2019
ARTS 3200,Arts Internship,North Terrace Campus,Winter,2019
ARTS 3200,Arts Internship,North Terrace Campus,Semester 1,2019
ARTS 3203,Arts Internship,North Terrace Campus,Winter,2019
ARTS 3203,Arts Internship,North Terrace Campus,Semester 1,2019
ARTS 3203,Arts Internship,North Terrace Campus,Semester 2,2019
ARTS 3301,Social Enterprise Internship III,North Terrace Campus,Semester 2,2019
ARTS 4001EX,Graeme Hugo South Australian Government Internship,External,Semester 2,2019
ARTS 1007,The Enquiring Mind,North Terrace Campus,Semester 1,2018
ARTS 1007,The Enquiring Mind,North Terrace Campus,Semester 2,2018
ARTS 1007EX,The Enquiring Mind,External,Semester 2,2018
ARTS 1007EX,The Enquiring Mind,External,Winter,2018
ARTS 2002,Complex Problem Solving,North Terrace Campus,Semester 2,2018
ARTS 2003,Science as a Social Enterprise,North Terrace Campus,Semester 1,2018
ARTS 2004,Arts Masterclass: Visiting International Academics,North Terrace Campus,Semester 2,2018
ARTS 2301,Social Enterprise Internship II,North Terrace Campus,Semester 2,2018
ARTS 3002,Advanced Arts Research Project,North Terrace Campus,Semester 2,2018
ARTS 3003,Advanced Humanities: Theory and Method,North Terrace Campus,Semester 1,2018
ARTS 3005,Liberal Arts & Sciences Internship,North Terrace Campus,Semester 2,2018
ARTS 3005,Liberal Arts & Sciences Internship,North Terrace Campus,Semester 1,2018
ARTS 3006,Science and Society,North Terrace Campus,Semester 1,2018
ARTS 3100,Community Engagement Learning Project,North Terrace Campus,Winter,2018
ARTS 3200,Arts Internship,North Terrace Campus,Semester 1,2018
ARTS 3200,Arts Internship,North Terrace Campus,Semester 2,2018
ARTS 3203,Arts Internship,North Terrace Campus,Semester 1,2018
ARTS 3203,Arts Internship,North Terrace Campus,Semester 2,2018
ARTS 3301,Social Enterprise Internship III,North Terrace Campus,Semester 2,2018
ARTS 4001,Graeme Hugo South Australian Government Internship,North Terrace Campus,Semester 1,2018
ARTS 1007,The Enquiring Mind: Freedom and Media,North Terrace Campus,Semester 2,2017
ARTS 1007,The Enquiring Mind: Freedom and Media,North Terrace Campus,Winter,2017
ARTS 1007,The Enquiring Mind: Freedom and Media,North Terrace Campus,Semester 1,2017
ARTS 2300,Social Enterprise Internship II,North Terrace Campus,Semester 2,2017
ARTS 3002,Advanced Arts Research Project,North Terrace Campus,Semester 2,2017
ARTS 3003,Advanced Humanities: Theory and Method,North Terrace Campus,Semester 1,2017
ARTS 3100,Community Engagement Learning Project,North Terrace Campus,Winter,2017
ARTS 3200,Arts Internship,North Terrace Campus,Semester 2,2017
ARTS 3200,Arts Internship,North Terrace Campus,Semester 1,2017
ARTS 3300,Social Enterprise Internship III,North Terrace Campus,Semester 2,2017
ARTS 4001,Graeme Hugo South Australian Government Internship,North Terrace Campus,Semester 1,2017
ARTS 1007,The Enquiring Mind: Freedom and Media,North Terrace Campus,Semester 1,2016
ARTS 1007,The Enquiring Mind: Freedom and Media,North Terrace Campus,Semester 2,2016
ARTS 3002,Advanced Arts Research Project,North Terrace Campus,Semester 2,2016
ARTS 3003,Advanced Humanities: Theory and Method,North Terrace Campus,Semester 1,2016
ARTS 3100,Community Engagement Learning Project,North Terrace Campus,Winter,2016
ARTS 3200,Arts Internship,North Terrace Campus,Semester 2,2016
ARTS 3200,Arts Internship,North Terrace Campus,Semester 1,2016
ARTS 1007,The Enquiring Mind: Arts of Engagement,North Terrace Campus,Semester 1,2015
ARTS 1007,The Enquiring Mind: Arts of Engagement,North Terrace Campus,Semester 2,2015
ARTS 2001,Arts Internship,North Terrace Campus,Semester 2,2015
ARTS 3002,Advanced Arts Research Project,North Terrace Campus,Semester 2,2015
ARTS 3003,Advanced Humanities: Theory and Method,North Terrace Campus,Semester 1,2015
ARTS 1007,The Enquiring Mind: Arts of Engagement,North Terrace Campus,Semester 1,2014
ARTS 1007,The Enquiring Mind: Arts of Engagement,North Terrace Campus,Semester 2,2014
ARTS 2001,Arts Internship,North Terrace Campus,Semester 2,2014
ARTS 3002,Advanced Arts Research Project,North Terrace Campus,Semester 2,2014
ARTS 3003,Advanced Humanities: Theory and Method,North Terrace Campus,Semester 1,2014
ARTH 1001,Introduction to Art History and Visual Culture,North Terrace Campus,Semester 1,2019
ARTH 2004OL,Contemporary Australian Art,Online,Semester 1,2019
ARTH 3002,Art History Research Project: Digital Curation,North Terrace Campus,Semester 2,2019
ARTH 3003,Art in the Age of Enlightenment,North Terrace Campus,Semester 2,2019
ARTH 1001,Introduction to Art History and Visual Culture,North Terrace Campus,Semester 1,2018
ARTH 3001,Art Against Society: Censorship & Iconoclasm III,North Terrace Campus,Semester 2,2018
ARTH 3002,Art History Research Project: Digital Curation,North Terrace Campus,Semester 1,2018
ARTH 1001,Introduction to Art History and Visual Culture,North Terrace Campus,Semester 1,2017
ARTH 2000,Northern Renaissance Art and Visual Culture II,North Terrace Campus,Semester 2,2017
ARTH 3000,Northern Renaissance Art and Visual Culture III,North Terrace Campus,Semester 2,2017
ARTH 1001,Introduction to Art History and Visual Culture,North Terrace Campus,Semester 1,2016
ARTH 2000,Northern Renaissance Art and Visual Culture,North Terrace Campus,Semester 1,2015
ARTH 2003,Art Against Society: Censorship & Iconoclasm,North Terrace Campus,Semester 1,2014
ASIA 1103,Asia and the World,North Terrace Campus,Semester 2,2019
ASIA 1104,Introduction to Asian Cultures,North Terrace Campus,Semester 1,2019
ASIA 2007,Asia: Cultures & Identities,North Terrace Campus,Semester 2,2019
ASIA 2022,"China Today: Ideology, Party & Society",North Terrace Campus,Semester 1,2019
ASIA 2024,"Asian Giants: Japan, China & India",North Terrace Campus,Semester 1,2019
ASIA 3002,Australia and the Asia-Pacific,North Terrace Campus,Semester 2,2019
ASIA 3007,Beyond Asian Ecological Crises,North Terrace Campus,Semester 1,2019
ASIA 3018,Key Issues in Asian Studies,North Terrace Campus,Semester 2,2019
ASIA 4001,Honours Asian Studies Special Topics,North Terrace Campus,Semester 1,2019
ASIA 4002,Honours Asian Studies Theory and Methodology,North Terrace Campus,Semester 1,2019
ASIA 4003,Honours Asian Studies Thesis,North Terrace Campus,Semester 2,2019
ASIA 4003,Honours Asian Studies Thesis,North Terrace Campus,Semester 1,2019
ASIA 1103,Asia and the World,North Terrace Campus,Semester 2,2018
ASIA 1104,Introduction to Asian Cultures,North Terrace Campus,Semester 1,2018
