code,title,campus,semester,year
AGRIC 4060BWT,Honours Agricultural Science Project,Waite Campus,Semester 1,2018
AGRIC 4060BWT,Honours Agricultural Science Project,Waite Campus,Semester 2,2018
AGRIC 4070AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 2,2018
AGRIC 4070AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 1,2018
AGRIC 4070BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 2,2018
AGRIC 4070BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 1,2018
AGRIC 1510WT,Agricultural Systems IA,Waite Campus,Semester 1,2017
AGRIC 1520WT,Agricultural Systems IB,Waite Campus,Semester 2,2017
AGRIC 2500RW,Animal and Plant Biochemistry II,Roseworthy Campus,Semester 1,2017
AGRIC 2500WT,Animal and Plant Biochemistry II,Waite Campus,Semester 1,2017
AGRIC 2501RW,Animal and Plant Biochemistry (Vet-Bio) II,Roseworthy Campus,Semester 1,2017
AGRIC 2505RW,Crop and Pasture Production II,Roseworthy Campus,Semester 2,2017
AGRIC 3500WT,Professional Skills in Agricultural Science III,Waite Campus,Semester 2,2017
AGRIC 3510WT,Agricultural Resource Management III,Waite Campus,Semester 2,2017
AGRIC 3515WT,Research Methodology in Agricultural Sciences III,Waite Campus,Semester 1,2017
AGRIC 4050AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 1,2017
AGRIC 4050AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 2,2017
AGRIC 4050BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 2,2017
AGRIC 4050BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 1,2017
AGRIC 4060AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 2,2017
AGRIC 4060AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 1,2017
AGRIC 4060BWT,Honours Agricultural Science Project,Waite Campus,Semester 1,2017
AGRIC 4060BWT,Honours Agricultural Science Project,Waite Campus,Semester 2,2017
AGRIC 4070AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 1,2017
AGRIC 4070AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 2,2017
AGRIC 4070BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 1,2017
AGRIC 4070BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 2,2017
AGRIC 1510WT,Agricultural Systems IA,Waite Campus,Semester 1,2016
AGRIC 1520WT,Agricultural Systems IB,Waite Campus,Semester 2,2016
AGRIC 2500RW,Animal and Plant Biochemistry II,Roseworthy Campus,Semester 1,2016
AGRIC 2500WT,Animal and Plant Biochemistry II,Waite Campus,Semester 1,2016
AGRIC 2501RW,Animal and Plant Biochemistry (Vet-Bio) II,Roseworthy Campus,Semester 1,2016
AGRIC 2505RW,Crop and Pasture Production II,Roseworthy Campus,Semester 2,2016
AGRIC 3500WT,Professional Skills in Agricultural Science III,Waite Campus,Semester 2,2016
AGRIC 3510WT,Agricultural Resource Management,Waite Campus,Semester 2,2016
AGRIC 3515WT,Research Methodology in Agricultural Sciences III,Waite Campus,Semester 1,2016
AGRIC 4010AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 2,2016
AGRIC 4010AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 1,2016
AGRIC 4010BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 1,2016
AGRIC 4010BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 2,2016
AGRIC 4020AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 1,2016
AGRIC 4020AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 2,2016
AGRIC 4020BWT,Honours Agricultural Science Project,Waite Campus,Semester 2,2016
AGRIC 4020BWT,Honours Agricultural Science Project,Waite Campus,Semester 1,2016
AGRIC 4030AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 2,2016
AGRIC 4030AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 1,2016
AGRIC 4030BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 1,2016
AGRIC 4030BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 2,2016
AGRIC 4050AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 2,2016
AGRIC 4050AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 1,2016
AGRIC 4050BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 2,2016
AGRIC 4050BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 1,2016
AGRIC 4060AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 1,2016
AGRIC 4060AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 2,2016
AGRIC 4060BWT,Honours Agricultural Science Project,Waite Campus,Semester 1,2016
AGRIC 4060BWT,Honours Agricultural Science Project,Waite Campus,Semester 2,2016
AGRIC 4070AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 2,2016
AGRIC 4070AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 1,2016
AGRIC 4070BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 1,2016
AGRIC 4070BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 2,2016
AGRIC 1510WT,Agricultural Systems IA,Waite Campus,Semester 1,2015
AGRIC 1520WT,Agricultural Systems IB,Waite Campus,Semester 2,2015
AGRIC 2500RW,Animal and Plant Biochemistry II,Roseworthy Campus,Semester 1,2015
AGRIC 2500WT,Animal and Plant Biochemistry II,Waite Campus,Semester 1,2015
AGRIC 2501RW,Animal and Plant Biochemistry (Vet-Bio) II,Roseworthy Campus,Semester 1,2015
AGRIC 2505RW,Crop and Pasture Production II,Roseworthy Campus,Semester 2,2015
AGRIC 3500WT,Professional Skills in Agricultural Science III,Waite Campus,Semester 2,2015
AGRIC 3510WT,Agricultural Resource Management,Waite Campus,Semester 2,2015
AGRIC 3515WT,Research Methodology in Agricultural Sciences III,Waite Campus,Semester 1,2015
AGRIC 4010AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 2,2015
AGRIC 4010AWT,Advanced Agricultural Science Part 1 (Hons),Waite Campus,Semester 1,2015
AGRIC 4010BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 2,2015
AGRIC 4010BWT,Advanced Agricultural Science Part 2 (Hons),Waite Campus,Semester 1,2015
AGRIC 4020AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 1,2015
AGRIC 4020AWT,Honours Agricultural Science Project Part 1,Waite Campus,Semester 2,2015
AGRIC 4020BWT,Honours Agricultural Science Project,Waite Campus,Semester 2,2015
AGRIC 4020BWT,Honours Agricultural Science Project,Waite Campus,Semester 1,2015
AGRIC 4030AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 2,2015
AGRIC 4030AWT,Honours Agricultural Science Project (T/Y) Cont,Waite Campus,Semester 1,2015
AGRIC 4030BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 2,2015
AGRIC 4030BWT,Honours Agricultural Science Project (T/Y) Final,Waite Campus,Semester 1,2015
AGRIC 1510WT,Agricultural Systems IA,Waite Campus,Semester 1,2014
AGRIC 1520WT,Agricultural Systems IB,Waite Campus,Semester 2,2014
AGRIC 2500RW,Animal and Plant Biochemistry II,Roseworthy Campus,Semester 1,2014
AGRIC 2500WT,Animal and Plant Biochemistry II,Waite Campus,Semester 1,2014
AGRIC 2501RW,Animal and Plant Biochemistry (Vet-Bio) II,Roseworthy Campus,Semester 1,2014
AGRIC 2505RW,Crop and Pasture Production II,Roseworthy Campus,Semester 2,2014
AGRIC 3500WT,Professional Skills in Agricultural Science III,Waite Campus,Semester 2,2014
AGRIC 3510WT,Agricultural Resource Management,Waite Campus,Semester 2,2014
AGRIC 3515WT,Research Methodology in Agricultural Sciences III,Waite Campus,Semester 1,2014
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 1,2019
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 2,2019
AGRONOMY 3012RW,Innovation in Agronomy III,Roseworthy Campus,Semester 2,2019
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 1,2018
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 2,2018
AGRONOMY 3012RW,Agronomy III,Roseworthy Campus,Semester 2,2018
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 2,2017
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 1,2017
AGRONOMY 3012RW,Agronomy III,Roseworthy Campus,Semester 2,2017
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 1,2016
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 2,2016
AGRONOMY 3012RW,Agronomy III,Roseworthy Campus,Semester 2,2016
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 2,2015
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 1,2015
AGRONOMY 3012RW,Agronomy III,Roseworthy Campus,Semester 2,2015
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 2,2014
AGRONOMY 3008RW,Individual Studies (Ag) III,Roseworthy Campus,Semester 1,2014
AGRONOMY 3012RW,Agronomy III,Roseworthy Campus,Semester 2,2014
AN BEHAV 2000RW,Foundations of Animal Behaviour,Roseworthy Campus,Semester 2,2019
ANIML SC 1015RW,Animal Handling & Husbandry I,Roseworthy Campus,Semester 1,2019
ANIML SC 1016RW,Principles in Animal Behaviour Welfare Ethics I,Roseworthy Campus,Semester 2,2019
ANIML SC 1017RW,Animal Handling & Husbandry I (Vet Bio),Roseworthy Campus,Semester 1,2019
ANIML SC 1018RW,Princ in Animal Behav Welfare Ethics I (Vet Bio),Roseworthy Campus,Semester 2,2019
ANIML SC 2500RW,Companion Animal and Equine Studies II,Roseworthy Campus,Semester 1,2019
ANIML SC 2501RW,Genes and Inheritance II,Roseworthy Campus,Semester 2,2019
ANIML SC 2502RW,Wildlife Management II,Roseworthy Campus,Semester 2,2019
ANIML SC 2503RW,Livestock Production Science II,Roseworthy Campus,Semester 2,2019
ANIML SC 2505RW,Animal Nutrition & Metabolism II (Vet Bio),Roseworthy Campus,Semester 2,2019
ANIML SC 2506RW,Comparative Animal Anatomy & Physiology IIA,Roseworthy Campus,Semester 1,2019
ANIML SC 2507RW,Comparative Animal Anatomy & Physiology IIB,Roseworthy Campus,Semester 2,2019
ANIML SC 2508RW,Genes and Inheritance II (Vet Bio),Roseworthy Campus,Semester 2,2019
ANIML SC 2520RW,Research Methodology for Animal Sciences II,Roseworthy Campus,Semester 1,2019
ANIML SC 2530RW,Animal and Plant Biochemistry II,Roseworthy Campus,Semester 1,2019
ANIML SC 3015RW,Animal Nutrition and Metabolism III,Roseworthy Campus,Semester 2,2019
ANIML SC 3016RW,Animal Health III,Roseworthy Campus,Semester 2,2019
ANIML SC 3018RW,Pig Production - Science into Management III,Roseworthy Campus,Summer,2019
ANIML SC 3019RW,Ecology and Management of Vertebrate Pests III,Roseworthy Campus,Winter,2019
ANIML SC 3020RW,Animal Microbiology & Invertebrates III,Roseworthy Campus,Semester 1,2019
ANIML SC 3043RW,Animal Biotechnology III,Roseworthy Campus,Summer,2019
ANIML SC 3045RW,Animal Breeding and Genetics III,Roseworthy Campus,Semester 1,2019
ANIML SC 3046RW,Animal Reproduction III,Roseworthy Campus,Semester 1,2019
ANIML SC 3100RW,Laboratory Animal Science III,Roseworthy Campus,Semester 2,2019
ANIML SC 3250RW,Animals and the Law,Roseworthy Campus,Winter,2019
ANIML SC 3515RW,Parasitology III,Roseworthy Campus,Semester 2,2019
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 2,2019
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 1,2019
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 2,2019
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 1,2019
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 1,2019
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 2,2019
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 2,2019
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 1,2019
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 1,2019
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 2,2019
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 2,2019
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 1,2019
ANIML SC 1015RW,Animal Handling & Husbandry I,Roseworthy Campus,Semester 1,2018
ANIML SC 1016RW,Principles in Animal Behaviour Welfare Ethics I,Roseworthy Campus,Semester 2,2018
ANIML SC 1017RW,Animal Handling & Husbandry I (Vet Bio),Roseworthy Campus,Semester 1,2018
ANIML SC 1018RW,Princ in Animal Behav Welfare Ethics I (Vet Bio),Roseworthy Campus,Semester 2,2018
ANIML SC 2500RW,Companion Animal and Equine Studies II,Roseworthy Campus,Semester 1,2018
ANIML SC 2501RW,Genes and Inheritance II,Roseworthy Campus,Semester 2,2018
ANIML SC 2501WT,Genes and Inheritance II,Waite Campus,Semester 2,2018
ANIML SC 2502RW,Wildlife Management II,Roseworthy Campus,Semester 2,2018
ANIML SC 2503RW,Livestock Production Science II,Roseworthy Campus,Semester 2,2018
ANIML SC 2505RW,Animal Nutrition & Metabolism II (Vet Bio),Roseworthy Campus,Semester 2,2018
ANIML SC 2506RW,Comparative Animal Anatomy & Physiology IIA,Roseworthy Campus,Semester 1,2018
ANIML SC 2507RW,Comparative Animal Anatomy & Physiology IIB,Roseworthy Campus,Semester 2,2018
ANIML SC 2508RW,Genes and Inheritance II (Vet Bio),Roseworthy Campus,Semester 2,2018
ANIML SC 2520RW,Research Methodology for Animal Sciences II,Roseworthy Campus,Semester 1,2018
ANIML SC 3015RW,Animal Nutrition and Metabolism III,Roseworthy Campus,Semester 2,2018
ANIML SC 3016RW,Animal Health III,Roseworthy Campus,Semester 2,2018
ANIML SC 3018RW,Pig Production - Science into Management III,Roseworthy Campus,Summer,2018
ANIML SC 3019RW,Ecology and Management of Vertebrate Pests III,Roseworthy Campus,Winter,2018
ANIML SC 3020RW,Animal Microbiology & Invertebrates III,Roseworthy Campus,Semester 1,2018
ANIML SC 3043RW,Animal Biotechnology III,Roseworthy Campus,Summer,2018
ANIML SC 3045RW,Animal Breeding and Genetics III,Roseworthy Campus,Semester 1,2018
ANIML SC 3046RW,Animal Reproduction III,Roseworthy Campus,Semester 1,2018
ANIML SC 3100RW,Laboratory Animal Science III,Roseworthy Campus,Semester 2,2018
ANIML SC 3250RW,Animals and the Law,Roseworthy Campus,Winter,2018
ANIML SC 3515RW,Parasitology III,Roseworthy Campus,Semester 2,2018
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 2,2018
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 1,2018
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 1,2018
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 2,2018
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 1,2018
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 2,2018
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 1,2018
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 2,2018
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 1,2018
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 2,2018
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 1,2018
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 2,2018
ANIML SC 1015RW,Animal Handling & Husbandry I,Roseworthy Campus,Semester 1,2017
ANIML SC 1016RW,Principles in Animal Behaviour Welfare Ethics I,Roseworthy Campus,Semester 2,2017
ANIML SC 1017RW,Animal Handling & Husbandry I (Vet Bio),Roseworthy Campus,Semester 1,2017
ANIML SC 1018RW,Princ in Animal Behav Welfare Ethics I (Vet Bio),Roseworthy Campus,Semester 2,2017
ANIML SC 2500RW,Companion Animal and Equine Studies II,Roseworthy Campus,Semester 1,2017
ANIML SC 2501RW,Genes and Inheritance II,Roseworthy Campus,Semester 2,2017
ANIML SC 2501WT,Genes and Inheritance II,Waite Campus,Semester 2,2017
ANIML SC 2502RW,Wildlife Management II,Roseworthy Campus,Semester 2,2017
ANIML SC 2503RW,Livestock Production Science II,Roseworthy Campus,Semester 2,2017
ANIML SC 2505RW,Animal Nutrition & Metabolism II (Vet Bio),Roseworthy Campus,Semester 2,2017
ANIML SC 2506RW,Comparative Animal Anatomy & Physiology IIA,Roseworthy Campus,Semester 1,2017
ANIML SC 2507RW,Comparative Animal Anatomy & Physiology IIB,Roseworthy Campus,Semester 2,2017
ANIML SC 2508RW,Genes and Inheritance II (Vet Bio),Roseworthy Campus,Semester 2,2017
ANIML SC 2520RW,Research Methodology for Animal Sciences II,Roseworthy Campus,Semester 1,2017
ANIML SC 3015RW,Animal Nutrition and Metabolism III,Roseworthy Campus,Semester 2,2017
ANIML SC 3016RW,Animal Health III,Roseworthy Campus,Semester 2,2017
ANIML SC 3018RW,Pig Production - Science into Management III,Roseworthy Campus,Summer,2017
ANIML SC 3018RW,Pig Production - Science into Management III,Roseworthy Campus,Semester 2,2017
ANIML SC 3019RW,Ecology and Management of Vertebrate Pests III,Roseworthy Campus,Winter,2017
ANIML SC 3020RW,Animal Microbiology & Invertebrates III,Roseworthy Campus,Semester 1,2017
ANIML SC 3043RW,Animal Biotechnology III,Roseworthy Campus,Summer,2017
ANIML SC 3045RW,Animal Breeding and Genetics III,Roseworthy Campus,Semester 1,2017
ANIML SC 3046RW,Animal Reproduction III,Roseworthy Campus,Semester 1,2017
ANIML SC 3100RW,Laboratory Animal Science III,Roseworthy Campus,Semester 2,2017
ANIML SC 3250RW,Animals and the Law,Roseworthy Campus,Winter,2017
ANIML SC 3515RW,Parasitology III,Roseworthy Campus,Semester 2,2017
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 2,2017
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 1,2017
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 2,2017
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 1,2017
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 1,2017
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 2,2017
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 1,2017
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 2,2017
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 2,2017
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 1,2017
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 2,2017
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 1,2017
ANIML SC 1015RW,Animal Handling & Husbandry I,Roseworthy Campus,Semester 1,2016
ANIML SC 1016RW,Principles in Animal Behaviour Welfare Ethics I,Roseworthy Campus,Semester 2,2016
ANIML SC 1017RW,Animal Handling & Husbandry I (Vet Bio),Roseworthy Campus,Semester 1,2016
ANIML SC 1018RW,Princ in Animal Behav Welfare Ethics I (Vet Bio),Roseworthy Campus,Semester 2,2016
ANIML SC 2500RW,Companion Animal and Equine Studies II,Roseworthy Campus,Semester 1,2016
ANIML SC 2501RW,Genes and Inheritance II,Roseworthy Campus,Semester 2,2016
ANIML SC 2501WT,Genes and Inheritance II,Waite Campus,Semester 2,2016
ANIML SC 2502RW,Wildlife Management II,Roseworthy Campus,Semester 2,2016
ANIML SC 2503RW,Livestock Production Science II,Roseworthy Campus,Semester 2,2016
ANIML SC 2505RW,Animal Nutrition & Metabolism II (Vet Bio),Roseworthy Campus,Semester 2,2016
ANIML SC 2506RW,Comparative Animal Anatomy & Physiology IIA,Roseworthy Campus,Semester 1,2016
ANIML SC 2507RW,Comparative Animal Anatomy & Physiology IIB,Roseworthy Campus,Semester 2,2016
ANIML SC 2508RW,Genes and Inheritance II (Vet Bio),Roseworthy Campus,Semester 2,2016
ANIML SC 2520RW,Research Methodology for Animal Sciences II,Roseworthy Campus,Semester 1,2016
ANIML SC 3015RW,Animal Nutrition and Metabolism III,Roseworthy Campus,Semester 2,2016
ANIML SC 3016RW,Animal Health III,Roseworthy Campus,Semester 2,2016
ANIML SC 3018RW,Pig Production - Science into Management III,Roseworthy Campus,Summer,2016
ANIML SC 3020RW,Animal Microbiology & Invertebrates III,Roseworthy Campus,Semester 1,2016
ANIML SC 3043RW,Animal Biotechnology III,Roseworthy Campus,Summer,2016
ANIML SC 3045RW,Animal Breeding and Genetics III,Roseworthy Campus,Semester 1,2016
ANIML SC 3046RW,Animal Reproduction III,Roseworthy Campus,Semester 1,2016
ANIML SC 3100RW,Laboratory Animal Science III,Roseworthy Campus,Semester 2,2016
ANIML SC 3250RW,Animals and the Law,Roseworthy Campus,Winter,2016
ANIML SC 3515RW,Parasitology III,Roseworthy Campus,Semester 2,2016
ANIML SC 4010ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 2,2016
ANIML SC 4010ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 1,2016
ANIML SC 4010BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 2,2016
ANIML SC 4010BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 1,2016
ANIML SC 4020ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 1,2016
ANIML SC 4020ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 2,2016
ANIML SC 4020BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 2,2016
ANIML SC 4020BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 1,2016
ANIML SC 4030ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 2,2016
ANIML SC 4030ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 1,2016
ANIML SC 4030BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 2,2016
ANIML SC 4030BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 1,2016
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 2,2016
ANIML SC 4050ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 1,2016
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 1,2016
ANIML SC 4050BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 2,2016
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 2,2016
ANIML SC 4060ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 1,2016
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 1,2016
ANIML SC 4060BRW,Honours Animal Science Project Pt 2,Roseworthy Campus,Semester 2,2016
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 1,2016
ANIML SC 4070ARW,Honours Animal Sc Project (Two-Year) Continuing,Roseworthy Campus,Semester 2,2016
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 2,2016
ANIML SC 4070BRW,Honours Animal Sc Project (Two-Year) Final,Roseworthy Campus,Semester 1,2016
ANIML SC 1015RW,Animal Handling & Husbandry I,Roseworthy Campus,Semester 1,2015
ANIML SC 1016RW,Principles in Animal Behaviour Welfare Ethics I,Roseworthy Campus,Semester 2,2015
ANIML SC 1017RW,Animal Handling & Husbandry I (Vet Bio),Roseworthy Campus,Semester 1,2015
ANIML SC 1018RW,Princ in Animal Behav Welfare Ethics I (Vet Bio),Roseworthy Campus,Semester 2,2015
ANIML SC 2500RW,Companion Animal and Equine Studies II,Roseworthy Campus,Semester 1,2015
ANIML SC 2501RW,Genes and Inheritance II,Roseworthy Campus,Semester 2,2015
ANIML SC 2501WT,Genes and Inheritance II,Waite Campus,Semester 2,2015
ANIML SC 2502RW,Wildlife Management II,Roseworthy Campus,Semester 2,2015
ANIML SC 2503RW,Livestock Production Science II,Roseworthy Campus,Semester 2,2015
ANIML SC 2505RW,Animal Nutrition & Metabolism II (Vet Bio),Roseworthy Campus,Semester 2,2015
ANIML SC 2506RW,Comparative Animal Anatomy & Physiology IIA,Roseworthy Campus,Semester 1,2015
ANIML SC 2507RW,Comparative Animal Anatomy & Physiology IIB,Roseworthy Campus,Semester 2,2015
ANIML SC 2508RW,Genes and Inheritance II (Vet Bio),Roseworthy Campus,Semester 2,2015
ANIML SC 2520RW,Research Methodology for Animal Sciences II,Roseworthy Campus,Semester 1,2015
ANIML SC 3015RW,Animal Nutrition and Metabolism III,Roseworthy Campus,Semester 2,2015
ANIML SC 3016RW,Animal Health III,Roseworthy Campus,Semester 2,2015
ANIML SC 3018RW,Pig Production - Science into Management III,Roseworthy Campus,Summer,2015
ANIML SC 3019RW,Ecology and Management of Vertebrate Pests III,Roseworthy Campus,Winter,2015
ANIML SC 3020RW,Animal Microbiology & Invertebrates III,Roseworthy Campus,Semester 1,2015
ANIML SC 3043RW,Animal Biotechnology III,Roseworthy Campus,Summer,2015
ANIML SC 3045RW,Animal Breeding and Genetics III,Roseworthy Campus,Semester 1,2015
ANIML SC 3046RW,Animal Reproduction III,Roseworthy Campus,Semester 1,2015
ANIML SC 3100RW,Laboratory Animal Science III,Roseworthy Campus,Semester 2,2015
ANIML SC 3240RW,Introduction to Aquaculture & Disease Management,Roseworthy Campus,Winter,2015
ANIML SC 3250RW,Animals and the Law,Roseworthy Campus,Winter,2015
ANIML SC 4010ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 1,2015
ANIML SC 4010ARW,Advanced Animal Science Pt 1 (Hons),Roseworthy Campus,Semester 2,2015
ANIML SC 4010BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 1,2015
ANIML SC 4010BRW,Advanced Animal Science Pt 2 (Hons),Roseworthy Campus,Semester 2,2015
ANIML SC 4020ARW,Honours Animal Science Project Pt 1,Roseworthy Campus,Semester 2,2015
