code,title,uni,state
ECON4902,Advanced Macroeconomic Analysis,University of Sydney,NSW
ECOS3902,Advanced Macroeconomics Honours,University of Sydney,NSW
QBUS3310,Advanced Management Science,University of Sydney,NSW
ACCT6006,Advanced Managerial Accounting,University of Sydney,NSW
MATH2582,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2594,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3581,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2591,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2543,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2596,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3591,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3542,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2598,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3544,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3598,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3541,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2597,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3592,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3543,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2593,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3595,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2592,Advanced Mathematics Exchange,University of Sydney,NSW
MATH1592,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2541,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3594,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3593,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3596,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2542,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2595,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2581,Advanced Mathematics Exchange,University of Sydney,NSW
MATH1591,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2544,Advanced Mathematics Exchange,University of Sydney,NSW
MATH2583,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3583,Advanced Mathematics Exchange,University of Sydney,NSW
MATH3582,Advanced Mathematics Exchange,University of Sydney,NSW
MECO6932,Advanced Media Project,University of Sydney,NSW
CHNG5604,Advanced Membrane Engineering,University of Sydney,NSW
MICR3591,Advanced Microbiology Exchange,University of Sydney,NSW
MICR3593,Advanced Microbiology Exchange,University of Sydney,NSW
MICR3592,Advanced Microbiology Exchange,University of Sydney,NSW
MICR2591,Advanced Microbiology Exchange,University of Sydney,NSW
MICR3594,Advanced Microbiology Exchange,University of Sydney,NSW
MICR2594,Advanced Microbiology Exchange,University of Sydney,NSW
MICR2593,Advanced Microbiology Exchange,University of Sydney,NSW
MICR2592,Advanced Microbiology Exchange,University of Sydney,NSW
ECON4901,Advanced Microeconomic Analysis,University of Sydney,NSW
PSYC6087,Advanced Models and Seminars,University of Sydney,NSW
INTM5102,Advanced Neurology,University of Sydney,NSW
INTM5110,Advanced Oncology,University of Sydney,NSW
VSAO5613,Advanced Opera Diction 1,University of Sydney,NSW
VSAO5614,Advanced Opera Diction 2,University of Sydney,NSW
VSAO5615,Advanced Opera Diction 3,University of Sydney,NSW
VSAO5616,Advanced Opera Diction 4,University of Sydney,NSW
VSAO5623,Advanced Opera Performance Stage 1,University of Sydney,NSW
VSAO5624,Advanced Opera Performance Stage 2,University of Sydney,NSW
VSAO5625,Advanced Opera Performance Stage 3,University of Sydney,NSW
VSAO5604,Advanced Opera Performance Voice 2,University of Sydney,NSW
VSAO5605,Advanced Opera Performance Voice 3,University of Sydney,NSW
VSAO5606,Advanced Opera Performance Voice 4,University of Sydney,NSW
VSAO5633,Advanced Opera Repertoire 1,University of Sydney,NSW
VSAO5634,Advanced Opera Repertoire 2,University of Sydney,NSW
VSAO5635,Advanced Opera Repertoire 3,University of Sydney,NSW
VSAO5636,Advanced Opera Repertoire 4,University of Sydney,NSW
PCOL2591,Advanced Pharmacology Exchange,University of Sydney,NSW
PCOL3591,Advanced Pharmacology Exchange,University of Sydney,NSW
PCOL2592,Advanced Pharmacology Exchange,University of Sydney,NSW
PCOL3592,Advanced Pharmacology Exchange,University of Sydney,NSW
PCOL3594,Advanced Pharmacology Exchange,University of Sydney,NSW
PCOL3593,Advanced Pharmacology Exchange,University of Sydney,NSW
PHYS3596,Advanced Physics Exchange,University of Sydney,NSW
PHYS1591,Advanced Physics Exchange,University of Sydney,NSW
PHYS3581,Advanced Physics Exchange,University of Sydney,NSW
PHYS3591,Advanced Physics Exchange,University of Sydney,NSW
PHYS2591,Advanced Physics Exchange,University of Sydney,NSW
PHYS3582,Advanced Physics Exchange,University of Sydney,NSW
PHYS2542,Advanced Physics Exchange,University of Sydney,NSW
PHYS2581,Advanced Physics Exchange,University of Sydney,NSW
PHYS3595,Advanced Physics Exchange,University of Sydney,NSW
PHYS2541,Advanced Physics Exchange,University of Sydney,NSW
PHYS3598,Advanced Physics Exchange,University of Sydney,NSW
PHYS3592,Advanced Physics Exchange,University of Sydney,NSW
PHYS3597,Advanced Physics Exchange,University of Sydney,NSW
PHYS3594,Advanced Physics Exchange,University of Sydney,NSW
PHYS3583,Advanced Physics Exchange,University of Sydney,NSW
PHYS3593,Advanced Physics Exchange,University of Sydney,NSW
PHYS3542,Advanced Physics Exchange,University of Sydney,NSW
PHYS2592,Advanced Physics Exchange,University of Sydney,NSW
PHYS2582,Advanced Physics Exchange,University of Sydney,NSW
PHYS2594,Advanced Physics Exchange,University of Sydney,NSW
PHYS3541,Advanced Physics Exchange,University of Sydney,NSW
PHSI3591,Advanced Physiology Exchange,University of Sydney,NSW
PHSI3594,Advanced Physiology Exchange,University of Sydney,NSW
PHSI3592,Advanced Physiology Exchange,University of Sydney,NSW
PHSI2591,Advanced Physiology Exchange,University of Sydney,NSW
PHSI2593,Advanced Physiology Exchange,University of Sydney,NSW
PHSI2592,Advanced Physiology Exchange,University of Sydney,NSW
PHSI2594,Advanced Physiology Exchange,University of Sydney,NSW
PHSI3593,Advanced Physiology Exchange,University of Sydney,NSW
PHTY5208,Advanced Physiotherapy Practice,University of Sydney,NSW
ELEC5207,Advanced Power Conversion Technologies,University of Sydney,NSW
CSCD4056,Advanced Practice A: Adult,University of Sydney,NSW
CSCD4053,Advanced Practice A: Clinical,University of Sydney,NSW
CSCD4054,Advanced Practice A: Community,University of Sydney,NSW
CSCD4058,Advanced Practice B: Adult,University of Sydney,NSW
CSCD4059,Advanced Practice B: Clinical,University of Sydney,NSW
CSCD4060,Advanced Practice B: Community,University of Sydney,NSW
CSCD4057,Advanced Practice B: Paediatric,University of Sydney,NSW
CSCD4064,Advanced Practice H: Adult,University of Sydney,NSW
CSCD4061,Advanced Practice H: Clinical,University of Sydney,NSW
CSCD4062,Advanced Practice H: Community,University of Sydney,NSW
CSCD4063,Advanced Practice H: Paediatric,University of Sydney,NSW
CHNG5603,Advanced Process Modelling and Simulation,University of Sydney,NSW
PHTY4221,Advanced Professional Practice A,University of Sydney,NSW
PHTY4225,Advanced Professional Practice B,University of Sydney,NSW
LAWS3408,Advanced Public International Law,University of Sydney,NSW
LAWS5108,Advanced Public International Law,University of Sydney,NSW
BUSS7906,Advanced Qualitative Methods,University of Sydney,NSW
SEXH5416,Advanced Readings in Sexual Health,University of Sydney,NSW
CIVL5999,Advanced Research and Analysis,University of Sydney,NSW
ECOP4012,Advanced Research in Political Economy,University of Sydney,NSW
INTM5104,Advanced Respiratory Medicine,University of Sydney,NSW
INTM5103,Advanced Rheumatology,University of Sydney,NSW
ELEC5307,Advanced Signal Processing with Deep Learning,University of Sydney,NSW
ELEC5306,Advanced Signal Processing: Video Compression,University of Sydney,NSW
SLEE5106,Advanced Sleep Medicine,University of Sydney,NSW
SLEE5105,Advanced Sleep Physiology,University of Sydney,NSW
SLSS4102,Advanced Social Science Methodology,University of Sydney,NSW
SCLG4102,Advanced Social Science Methodology,University of Sydney,NSW
SCLG4101,Advanced Sociological Theory,University of Sydney,NSW
STAT3595,Advanced Statistics Exchange,University of Sydney,NSW
STAT2582,Advanced Statistics Exchange,University of Sydney,NSW
STAT2541,Advanced Statistics Exchange,University of Sydney,NSW
STAT3597,Advanced Statistics Exchange,University of Sydney,NSW
STAT2581,Advanced Statistics Exchange,University of Sydney,NSW
STAT2594,Advanced Statistics Exchange,University of Sydney,NSW
STAT2543,Advanced Statistics Exchange,University of Sydney,NSW
STAT2583,Advanced Statistics Exchange,University of Sydney,NSW
STAT3594,Advanced Statistics Exchange,University of Sydney,NSW
STAT2591,Advanced Statistics Exchange,University of Sydney,NSW
STAT2593,Advanced Statistics Exchange,University of Sydney,NSW
STAT3544,Advanced Statistics Exchange,University of Sydney,NSW
STAT2542,Advanced Statistics Exchange,University of Sydney,NSW
STAT2592,Advanced Statistics Exchange,University of Sydney,NSW
STAT3592,Advanced Statistics Exchange,University of Sydney,NSW
STAT2544,Advanced Statistics Exchange,University of Sydney,NSW
STAT3591,Advanced Statistics Exchange,University of Sydney,NSW
STAT3593,Advanced Statistics Exchange,University of Sydney,NSW
STAT3583,Advanced Statistics Exchange,University of Sydney,NSW
STAT3596,Advanced Statistics Exchange,University of Sydney,NSW
STAT3582,Advanced Statistics Exchange,University of Sydney,NSW
STAT3581,Advanced Statistics Exchange,University of Sydney,NSW
STAT3543,Advanced Statistics Exchange,University of Sydney,NSW
STAT3542,Advanced Statistics Exchange,University of Sydney,NSW
PSYC3010,Advanced Statistics for Psychology,University of Sydney,NSW
SEXH5200,Advanced STIs,University of Sydney,NSW
AMED4001,Advanced Studies in Cancer Biology,University of Sydney,NSW
PAIN5023,Advanced Studies in Orofacial Pain,University of Sydney,NSW
LAWS5109,Advanced Taxation Law,University of Sydney,NSW
ECOP4011,Advanced Theory in Political Economy,University of Sydney,NSW
ARCH9113,Advanced Topics in Australian Architecture,University of Sydney,NSW
PHIL4110,Advanced Topics in Philosophy of Science,University of Sydney,NSW
CLTR5004,Advanced Trial Design,University of Sydney,NSW
LAWS3502,Advanced Trusts,University of Sydney,NSW
LAWS5202,Advanced Trusts,University of Sydney,NSW
VETS9015,Advanced Veterinary Clinical Practice 2,University of Sydney,NSW
VETS9017,Advanced Veterinary Clinical Practice 3,University of Sydney,NSW
CHNG5006,Advanced Wastewater Engineering,University of Sydney,NSW
MKTG3121,Advertising: Creative Principles,University of Sydney,NSW
AERO8260,Aerodynamics 1,University of Sydney,NSW
AERO9260,Aerodynamics 1,University of Sydney,NSW
AERO3260,Aerodynamics 1,University of Sydney,NSW
AERO4260,Aerodynamics 2,University of Sydney,NSW
AERO9262,Aerodynamics 2,University of Sydney,NSW
AERO9460,Aerospace Design 1,University of Sydney,NSW
AERO3460,Aerospace Design 1,University of Sydney,NSW
AERO8460,Aerospace Design 1,University of Sydney,NSW
AERO3465,Aerospace Design 2,University of Sydney,NSW
AERO4460,Aerospace Design 3,University of Sydney,NSW
AERO2711,Aerospace Engineering Project 1,University of Sydney,NSW
AERO3711,Aerospace Engineering Project 2,University of Sydney,NSW
AERO4711,Aerospace Engineering Project 3,University of Sydney,NSW
AERO9360,Aerospace Structures 1,University of Sydney,NSW
AERO8360,Aerospace Structures 1,University of Sydney,NSW
AERO3360,Aerospace Structures 1,University of Sydney,NSW
AERO4360,Aerospace Structures 2,University of Sydney,NSW
HSTY1002,Age of Empires,University of Sydney,NSW
NURS2006,"Ageing, Health and Care",University of Sydney,NSW
AVBS3001,Agents of Disease,University of Sydney,NSW
INFS6032,Agile Project Management,University of Sydney,NSW
COMP9412,Agile Software Development Practices,University of Sydney,NSW
AFNR3001,Agro-ecosystems in Developing Countries,University of Sydney,NSW
AERO2703,Aircraft Performance and Operations,University of Sydney,NSW
PUBH5145,"Alcohol, drug use and health",University of Sydney,NSW
MATH3066,Algebra and Logic,University of Sydney,NSW
COMP3027,Algorithm Design,University of Sydney,NSW
COMP3927,Algorithm Design (Adv),University of Sydney,NSW
BADP2001,Algorithmic Architecture,University of Sydney,NSW
USSC1201,America and Australia: the issues compared,University of Sydney,NSW
HSTY2611,America in World Affairs: A History,University of Sydney,NSW
AMST2701,American Dreams,University of Sydney,NSW
AMST3601,American Perspectives,University of Sydney,NSW
HSTY2659,American Slavery,University of Sydney,NSW
AMST4115,American Studies: Theory and Practice,University of Sydney,NSW
OLET1601,Analysing and Plotting Data: R,University of Sydney,NSW
OCCP1097,Analysing Occupations and Performance,University of Sydney,NSW
MATH2023,Analysis,University of Sydney,NSW
MATH2923,Analysis (Advanced),University of Sydney,NSW
ECMT6007,Analysis of Panel Data,University of Sydney,NSW
ATHK1001,Analytical Thinking,University of Sydney,NSW
ANAT3010,Anatomical Imaging: From Micro to Macro,University of Sydney,NSW
