code,title
APG5091,APG5091 Big ideas in international relations policy
APG5092,APG5092 Human rights in global politics
APG5093,APG5093 International relations field unit: Governing peace and security
APG5095,APG5095 Research and writing
APG5100,APG5100 Colab M: Mentoring for development practice and professional development
APG5101,APG5101 Foundations of public policy
APG5102,APG5102 Governance
APG5103,APG5103 Policy analysis and evaluation
APG5104,APG5104 Public management
APG5109,APG5109 Family violence prevention practicum
APG5122,APG5122 Corporate sustainability
APG5135,APG5135 Video journalism
APG5140,APG5140 Guiding principles for professionals engaged in disasters and humanitarian crises
APG5155,APG5155 Designing research in the humanities and social sciences
APG5180,APG5180 Policy and political communication
APG5181,APG5181 Intergovernmental relations
APG5182,APG5182 Digital management and production
APG5183,APG5183 International tourism marketing research project
APG5184,APG5184 Video-making as research
APG5189,APG5189 Monitoring and evaluation
APG5190,APG5190 Global journalism: Hong Kong field school
APG5215,APG5215 Global creative cities
APG5229,"APG5229 Prosperity, poverty and sustainability in a globalised world"
APG5230,APG5230 Ecosystems and environmental management
APG5324,APG5324 International political economy
APG5327,APG5327 Wars of recognition: Terrorism and political violence
APG5332,APG5332 Contemporary security topics
APG5337,APG5337 Governance and democratisation
APG5347,APG5347 Research methods in applied linguistics
APG5348,APG5348 Second language acquisition
APG5349,APG5349 World Englishes
APG5351,APG5351 World news
APG5355,APG5355 Journalism and technology
APG5365,APG5365 Principles of global communications
APG5366,APG5366 Strategic communications in a digital era
APG5367,"APG5367 Campaigns, advocacy and change"
APG5389,APG5389 Tourism industry and marketing
APG5390,APG5390 Contemporary tourism and development in emerging economies
APG5393,APG5393 Ethics
APG5394,APG5394 Questions of life and death
APG5397,"APG5397 Media, technologies and social change"
APG5398,APG5398 Digital media technologies
APG5400,APG5400 Issues in international communications
APG5401,APG5401 Media empires and entrepreneurs
APG5426,APG5426 Environmental analysis
APG5428,APG5428 Environmental governance and citizenship
APG5433,APG5433 Corporate sustainability management
APG5434,APG5434 Sustainability measurement
APG5470,APG5470 Managing multicultural teams
APG5471,APG5471 Leadership in intercultural environments
APG5481,APG5481 Language for professional purposes part 1
APG5482,APG5482 Language for professional purposes part 2
APG5483,APG5483 Language for professional purposes part 3
APG5547,APG5547 Studio production
APG5553,APG5553 Field studies in sustainable development
APG5555,APG5555 Digital tourism economy
APG5566,APG5566 Strategic events management
APG5590,APG5590 Political Islam
APG5609,APG5609 Sustainable tourism development and planning
APG5616,APG5616 Conference interpreting
APG5617,APG5617 Human research ethics
APG5627,APG5627 Research in political ecology
APG5628,APG5628 Deconstructing development
APG5640,APG5640 Journalism in society
APG5642,APG5642 Investigative journalism
APG5652,APG5652 Language and intercultural communication
APG5653,APG5653 International journalism field school
APG5662,APG5662 Cultural and creative industries
APG5666,"APG5666 Terrorism, counter-terrorism and intelligence"
APG5667,"APG5667 Terrorism, fringe politics and extremist violence"
APG5668,APG5668 Advanced seminar in international relations
APG5690,APG5690 Applied translation
APG5702,APG5702 Bilingualism
APG5703,APG5703 Literacy
APG5704,APG5704 Discourse analysis
APG5717,APG5717 Applied industry research and practice
APG5729,APG5729 Clinical ethics
APG5730,"APG5730 Bioethics, public policy, and the law"
APG5733,APG5733 Health care ethics
APG5742,APG5742 Industry project
APG5746,APG5746 Reading and writing international relations
APG5752,APG5752 Field trip in media and communications
APG5782,APG5782 Film festivals in local and international contexts
APG5805,APG5805 Project planning and management in international development
APG5848,APG5848 Research thesis
APG5849,APG5849 Research thesis A
APG5850,APG5850 Research thesis B
APG5856,APG5856 Research project
APG5874,APG5874 Global translation and interpreting professional practices
APG5875,APG5875 Introduction to interpreting and translation studies
APG5876,APG5876 Translation trends in a digital age
APG5881,APG5881 Translation studies abroad 1
APG5882,APG5882 Translation studies abroad 2
APG5883,APG5883 Major translation project part 1
APG5884,APG5884 Major translation project part 2
APG5885,APG5885 Specialised interpreting
APG5894,APG5894 Communications theories and practices
APG5900,APG5900 Cultural economy
APG5990,APG5990 Managing public sector organisations
APG5993,APG5993 Designing public policies and programs
APG5995,APG5995 Governing by the rules
APG5998,APG5998 Public financial management
APR6035,"APR6035 Advanced research methodologies in media, film and journalism"
APR6100,"APR6100 Film, media and communication studies: The state of the fields"
ARC1001,ARC1001 Foundation studio 1
ARC1002,ARC1002 Foundation studio 2
ARC1102,ARC1102 Technologies and environments 1
ARC1301,ARC1301 Architecture communications 1
ARC2001,ARC2001 Architecture design studio 3
ARC2002,ARC2002 Architecture design studio 4
ARC2101,ARC2101 Technologies and environments 2
ARC2301,ARC2301 Architecture communications 2
ARC2401,ARC2401 Contemporary architecture
ARC2402,ARC2402 19th and 20th century architecture
ARC3001,ARC3001 Architecture design studio 5
ARC3002,ARC3002 Architecture design studio 6
ARC3101,ARC3101 Technologies and environments 3
ARC3102,"ARC3102 Integrated technologies, environments and professional studies"
ARC3401,ARC3401 Architecture and the city
ARC3501,ARC3501 Advanced studies in architecture A
ARC3502,ARC3502 Advanced studies in architecture B
ARC4001,ARC4001 Advanced architecture project 1
ARC4002,ARC4002 Advanced architecture project 2
ARC4031,ARC4031 Transition architecture studio 1
ARC4032,ARC4032 Transition architecture studio 2
ARC4101,"ARC4101 Integrated project - technologies, environments and professional practices"
ARC4130,ARC4130 Technologies and environments
ARC4201,ARC4201 Professional studies 1
ARC4501,ARC4501 Advanced architecture studies 1
ARC4502,ARC4502 Advanced architecture studies 2
