code,title,meta
EDU10002,Mathematics and Numeracy (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
EDU10005,Language and Literacy (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
FOR03019,Extension and Professional Practice in Natural Resource Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
SCI03072,Research Project II (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Advanced        
SOC10205,Indigenous Research Theory and Practice (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  8Level of learning:  Introductory        
MNG03393,Sport Facility Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG03392,Managing International Sport Events (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
MNG03391,Sport Promotions in the Global Marketplace (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
MNG03390,Sport Marketing in the Global Marketplace (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
FOR03110,Agroforestry and Farm Forestry (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG00784,Industry Based Project (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
IST03303,Postgraduate Independent Study,Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
IST03302,Postgraduate Independent Study,Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
IST03301,Postgraduate Independent Study,Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
FOR03198,Product Development and Marketing (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
BIO03095,Coral Reefs on the Edge (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG03011,Business Research Project I (2020),Unit type: PG Project/Other Research UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
FOR00108,Agroforestry and Farm Forestry (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
GLY30002,"Phase Equilibria, Thermodynamics and Kinetics (2020)",Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
GLY30001,Contamination Assessment and Remediation (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
MNG03395,Sports Law (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
GLY20002,Environmental Analysis: Aqueous (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
GLY20001,Environmental Analysis: Solids (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENG40007,Engineering Project Management and Professional Ethics (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Advanced        
ENG40006,Municipal Infrastructure Design and Surveying (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Advanced        
WEL30001,Youth Work (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ENG40005,Engineering Capstone Project (2020),Unit type: UG Coursework UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
WEL92004,"Social Work Organisations, Leadership and Management (2020)",Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
ENG40004,Engineering Thesis II (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Advanced        
ENG40001,Engineering Thesis I (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Advanced        
ENG30012,Water and Wastewater Engineering (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
ENG30011,Regional and Urban Transport Planning (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
ENG30009,Hydraulic Engineering (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
ENG30004,Analysis and Computer Modelling of Structures (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
SCI10001,Nature of Science (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  6Level of learning:  Introductory        
ENG20007,Engineering Computations (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
EDU10011,Learning for Future Careers (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  6Level of learning:  Intermediate        
ENG30002,Soil Mechanics and Geology (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
ENG30007,Geotechnical Engineering (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
ENG30005,Design of Structures (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
ENG20006,Fluid Mechanics (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
MKT00724,International Marketing (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
WEL92006,Social Work Field Placement IIb (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
WEL92005,Social Work Field Placement IIa (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Advanced        
CAR10002,Time-Based Art and New Media Culture (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
SOC40022,Indigenous Research Thesis (Stage 2 of 3) (2020),Unit type: Hons UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
SOC40021,Indigenous Research Thesis (Stage 1 of 3) (2020),Unit type: Hons UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
SOC40023,Indigenous Research Thesis (Stage 3 of 3) (2020),Unit type: Hons UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
IHE03386,Health and Indigenous Peoples (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
