Water Essentials KNE521 
Topic in French Literature A HEF328 
Honours Thesis Part A HTC405 
History Honours Thesis A HTA426 
Supplier Relationship Management ZAA149 
Leading Quality in the Workplace CNA422 
Reliability Engineering JEE489 
Dissertation A JEE501 
HPE Pedagogy ESP310 
Dissertation D JEE522 
Honours unit KYA589 
Biotechnology and Medical Research Honours in Microbiology B KLA463 
Biotechnology and Medical Research Honours in Microbiology C KLA466 
Biotechnology and Medical Research Honours in Microbiology D KLA467 
Serious Games KIT323 
Advanced Robotics and Automation ENG724 
Aquatic Chemistry ZAS210 
Advanced French B HEF336 
Leading People ZAA247 
Aboriginal Studies: Honours Dissertation A HAB462 
Aboriginal Studies: Honours Dissertation B HAB463 
Indonesian Thesis A HMN462 
Indonesian Thesis B HMN463 
Special Topics in Criminology HGA321 
Cognition KHA208 
Leadership in Practice CNA416 
Agronomy KLA606 
Business Law BFA506 
Research Project HEN306 
Policing Practices HSP214 
Recording and Live Sound FCJ120 
Valuing Nature BEA315 
Successful School Leadership ESG786 
Music Before 1700 FCP302 
Chinese 1B HMC102 
Toxicology CSA331 
Sustainability ZAS108 
Motor Learning ESP233 
Music Materials 1 FCP101 
Photomedia: Convergence FFR214 
Photomedia: Convergence FFR314 
Bachelor of Contemporary Arts with Honours A HXA416 
Bachelor of Contemporary Arts with Honours B HXA417 
Anatomy and Physiology 2 CXA173 
Professional Practices 2B FFA775 
Professional Practices 3B FFA777 
Toxicology CSA333 
Biomechanics CXA203 
Honours Dissertation Part B HGW410 
Japanese 1B HMJ102 
Engineering Statics XPD142 
Fisheries Assessment JFA308 
Responsible Fishing JFA535 
Data Capture Technologies ZAT214 
Education Project 1 ESG748 
Contemporary Dance: Composition and Performance FPB107 
The Music Business 2 FCA214 
Advanced Clinical Nursing Practice CNA803 
Primary Health Care 1 CNA554 
Advanced Mechanical Design ENG723 
Commercial Transactions BFA141 
Design Ethics ZAD205 
Category Management ZAA222 
Languages Teaching ESH311 
Research Project (French) B HEF332 
Data Analysis in Educational Research EPA962 
Nutritional Assessment CXA228 
Shipboard Operations (Engine) JNE121 
Advanced 3D Games Programming KIT409 
Rock Revolution FCB116 
Reading Course HGA403 
Environmental Health Risk Assessment and Management CAM545 
GIS: Introduction JFA545 
Digital Electronics 1 KNE231 
Microbiology 4 (Honours) (Science) C KLA452 
Microbiology 4 (Honours) (Science) B KLA448 
Microbiology 4 (Honours) (Science) D KLA453 
Shipboard Management Experience (Deck) I JVD229 
Design Process ZAD104 
Special Topic in Advanced Ancient Greek A HTG301 
Special Topic in Advanced Ancient Greek B HTG302 
Minor Thesis A HGW708 
Chemistry 1A XPD133 
Histology CXA121 
Anatomy and Physiology 1 CXA172 
Counselling Skills 1 KHA501 
Responsible Fishing JFA318 
Geotechnical Engineering KNE373 
Agribusiness Marketing ZAB104 
Contract Management ZAA221 
Advanced Practical Study FCP120 
Research Project (German) HEG331 
Documentary HEJ508 
Buddhist Philosophy HPA319 
Latin 1B HTL102 
Professional Practices 1B FFA773 
Neuroscience A CHP311 
Communication and Mental Health CNA110 
Research Proposal KHA796 
Surveying Practice KGG505 
GMDSS JVD227 
Dissertation A BFA442 
Dissertation B BFA443 
Glass Class FFC305 
Chinese 2A HMC219 
Haematology 1 CXA231 
Behavioural Neuroscience KHA258 
Shipboard Operations I JND151 
Advanced Topics in Policing HSP501 
Intellectual Property LAW664 
Marine and Antarctic Science Elective 2 KSA719 
Philosophy Capstone HPH350 
Metabolic Biochemistry CXA261 
Managing Revenue ZAA218 
Foundation Ensemble 1 FCE001 
Engineering Design 1 XPD143 
Marine Biosecurity JFA312 
Marine Biosecurity JFA530 
Environmental Engineering KNE470 
Foundation Ensemble 2 FCE002 
Virtual Orchestration FCP309 
Chinese 2B HMC220 
"Music for Film, TV and Games 2 FCA309 "
The Neurobiology of Dementia CAD201 
Work Term 3 JEE141 
IREX BAA729 
Public Sector Resource Management BFA525 
Marketing for Business ZAA104 
Managing Events ZAA206 
Studio Musicianship FCJ119 
Music Business Practices FCP307 
German 2B HEG208 
Geometallurgy KEA711 
Honours unit KRA586 
Marine and Antarctic Science Elective 3 KSA720 
Marine and Antarctic Science Elective 4 KSA721 
Evidence Based Decision Making BAA210 
Early Music Studies FCH301 
Self-directed Project FFE211 
Self-directed Project FFE311 
Research Thesis B HPP763 
Professional Pathway Social Work Practicum HGW433 
Foundations of Health care CNA119 
Oncology Nursing 1 CNA511 
Geometallurgy KEA702 
Research Project KSA716 
Marine and Antarctic Science Elective 1 KSA718 
Law for Managers BFA682 
Organisational Behaviour BMA247 
Research Presentation 2 FCZ407 
Negotiated Study in Understanding Dementia CAD110 
Exercise Physiology CXA237 
Environmental Leadership JFA103 
Aquaculture Hatchery Production JFA202 
Engineering Geology and Soil Mechanics KNE273 
Dissertation B BMA416 
Theory Basics FFA192 
Movement for Performers FPB239 
Movement for Performers FPB339 
Research Project Design HGA404 
Applied Popular Music Theory 1 FCA102 
Anatomy and Physiology 2 CXA273 
Leadership in Aged Care CAD311 
Hydrostatics JEE225 
Aquatic Biology A JFA101 
Business Logistics JNB522 
Materials Engineering ENG709 
Human Resource Development BMA776 
Feminist Philosophy HAF219 
Feminist Philosophy HAF319 
Fictions of History HEN304 
Asia: Enduring Traditions University College Program HMA103 
Advanced Serious Games KIT423 
Category Management ZAA252 
Music Comprehensive FCA602 
Electroacoustics FCF103 
Photomedia: Art and Site FFR215 
Photomedia: Art and Site FFR315 
Reading the Screen HEN215 
"Music for Film, TV and Games 1 FCA308 "
Health Informatics in Practice CRH601 
Aquatic Animal Health JFA523 
Process Control Engineering KNE444 
Composite Steel Concrete Structures ENG713 
Globalisation and Accountability BFA217 
Good Governance ZAA115 
Foundation Theory FCG120 
Mathematics 1B XPD128 
Orthopaedic Nursing 2 CNA531 
Pharmacology CSA230 
Research Design & Ethics KHA779 
Aquatic Biology B JFA102 
Supply Chain Management JNB330 
Services Marketing JNB523 
Programming Paradigms (Elite) KIT320 
Fluid Mechanics 1 KNE351 
Business Information Systems KXO101 
Astronomy KYA181 
Honours Project B KGG423 
Honours Project A KGG422 
Design of Concrete Structures ENG422 
Fisheries Assessment KSM608 
Introduction to Science for Health Professionals XAB081 
Performance Making A FPB135 
Biology of Plants XPD130 
Neuroscience Nursing 3 CNA538 
Rehabilitation Counselling KHA602 
Furniture Design Workshop 4 KDA231 
Industry Analysis A KLA712 
Assessment for Learning ESH203 
Popular Music & Culture FCH101 
Special Topic in Gender Studies HAF318 
The Twentieth-Century German Novel HEG311 
Seminar in Ancient Literature HTC404 
Torts LAW256 
Principles of Palliative Care CAD203 
Fluid Mechanics JEE221 
Asset Management Practices KNE509 
BEnvSci Honours in Geography & Environmental Studies C KGA426 
BEnvSci Honours in Geography & Environmental Studies D KGA427 
Co-op Portfolio JEE146 
Information Systems Management KIT312 
Dissertation A BMA415 
Good Governance ZAA145 
Experimental Textiles FFX305 
Seminar in Ancient History HTC403 
E-Health CRH602 
Humans in Space CAM632 
Component Fabrication JVE130 
Marine Fabrication Techniques JVE135 
Asset Management Fundamentals KNE510 
Business and Information Analysis KXO222 
Master of Applied Science Project KZA702 
Shipping Business and Law JND322 
Track _€“ Train Interactions JEE153 
Prestressed Concrete Structures ENG716 
Contract Management ZAA251 
German 2A HEG207 
Research Thesis A LAW703 
Oncology Nursing 3 CNA514 
Pharmacology CSA231 
Stress Analysis KNE412 
Music for Vision FCP310 
Painting: Contemporary/Temporal FFP250 
Advanced Latin B HTL319 
Competition Law LAW604 
Engineering Dynamics XPD145 
Neuroscience Nursing 2 CNA536 
Foundations of Ecology JFA210 
Programming KIT107 
Special Topics in Management BMA403 
Business Finance ZAA103 
Data for Decision Making ZAA201 
The Printed Image FFD206 
Performance - Artist FPB307 
French Language 2A HEF215 
Research Thesis HPA705 
Research Thesis A HPP762 
History Honours Thesis B HTA427 
Principles of Finance XPD103 
Contexts of Addiction CNA547 
Public and Environmental Health CXA303 
Occupational Health CXA312 
Haematology 2 CXA332 
Surveying 1 KGG255 
Advanced Programming Paradigms KIT420 
Robotics and Automation ENG411 
Agribusiness Finance ZAB105 
Painting: Contemporary/Temporal FFP350 
Performance in Practice FPB202 
Performing Tasmania FPB308 
French Language 3A HEF315 
Reading the Screen HEN315 
International Relations in Asia HIR406 
Intermediate Latin B HTL219 
Thesis B HIR463 
Pharmacology 3B CSA309 
Histopathology CXA222 
Engineering Design and Presentation JNE120 
Chemistry honours A KRA589 
Cognitive Engineering and Design KIT732 
Branding and Visual Identity ZAD211 
Studio Project A FFE312 
Post-1945 German Film HEG312 
Immunology CXA321 
Human Nutrition CXA108 
Introduction to Quantitative Methods JFA112 
Aquaculture Hatchery Production JFA508 
Renewable Energy Generation ENG725 
Abstraction through Drawing FFD210 
American Politics HPP215 
Media Law LAW652 
HPE Pedagogy ESP231 
Musicology Seminar 2 FCH304 
Neuroscience Nursing 1 CNA535 
Fish Health Management JFA220 
Research Project KGA445 
Advanced Environmental Engineering KNE486 
Geophysics 4 (Honours) B KEA430 
Geophysics 4 (Honours) C KEA434 
Geophysics 4 (Honours) D KEA435 
Marine Mathematics II JNE235 
Research in Revenue and Cost Management BFA435 
Health & Physical Activity ESP114 
Social and Emotional Learning ESP326 
German 3B HEG314 
Nero and Neronian Literature HTC237 
Artist in Residence Program FSA404 
Counselling Fundamentals KHA235 
Research Thesis 1B KHA739 
Conservation Biology JFA205 
Civil Engineering 1 KNE216 
Work Placement ENG700 
Ceramics 1 FFC110 
The Printed Image FFD306 
Contemporary Policing HSP417 
Anaesthetic & Recovery Nursing 1 CNA532 
Bioscience 2 CXA205 
Exercise for Workplace Health and Occupational Rehabilitation CXA417 
Ecology KPZ163 
Geochemistry 4 (Honours) C KEA447 
eForensics KIT326 
Introduction to International Business BMA181 
Leading and Managing People ESM706 
Abstraction through Drawing FFD310 
Soft Sculpture FFS203 
Soft Sculpture FFS303 
The French Novel (1900 - 1950) HEF423 
Journalism Practice HEJ104 
International Cooperation HIR208 
The Practice of History HTA416 
Evaluating Quality CNA424 
Forensic Rehabilitation and Practice KHA612 
Psychology in Action KHA107 
Introduction to Economics JFA107 
Conservation Biology JFA511 
Concrete Structures KNE316 
Geochemistry 4 (Honours) B KEA446 
Geochemistry 4 (Honours) D KEA448 
Design Thinking and Methods KIT631 
Accounting Information Analysis BFA501 
Exercise Psychology ESP320 
The Potter's Wheel FFC209 
Media Training HEJ103 
Research Workshop HEN403 
Introduction to Action Research CAM623 
Functional and Surface Anatomy CXA232 
Health Psychology KHA749 
Effective Communication in Science CAM403 
Aquaculture Technology JFA501 
Games Physics KIT212 
Programming and Problem Solving KXO151 
Sound FSE356 
Indigenous Justice Issues HAB208 
German 1B HEG102 
Thesis A HIR462 
Pharmacology 3A CSA308 
Healthcare Quality and Safety: Evidence and Analysis CAM541 
Elementary First Aid JVD170 
Industry Project A KLA378 
Research Methods in Management BMA401 
Composition 2A FCM214 
Experimental Textiles FFX205 
Legal Ethics LAW452 
Immunology (MLS) CXA211 
Environmental Hazards CXA216 
The Enabled Leader CNA429 
Practicum in Aquaculture JFA223 
Electrical Engineering 1 KNE223 
Shipboard Electronics JNE244 
Design Integration ZAD207 
Foundations of Education Support ESH161 
Music Materials 3 FCP201 
The Potter's Wheel FFC309 
Performance Making B FPB136 
French 1A HEF101 
French 1B HEF102 
Advanced French A HEF335 
Rehabilitation Nursing 1 CNA503 
Trauma Nursing CNA618 
Aquaculture Technology JFA115 
Aquaculture Production JFA509 
Fish Histopathology JFA549 
Analogue Electronics Design KNE239 
Structural Mechanics KNE312 
"Mathematics of Science, Health & Engineering 1 EUS011 "
"Mathematics of Science, Health & Engineering 2 EUS012 "
Advanced Aviation Practice BAA623 
Digital Design ZAD103 
TESOL Practicum ESH723 
Composition 1A FCM114 
Intermediate Ethics HPH201 
Greek 2: From Learning to Reading HTG274 
Thesis A HGA408 
Thesis B HGA409 
Musicology Seminar 1 FCH303 
Honours B CSA405 
Social Psychology KHA207 
Pharmacy Honours B CSA432 
eLogistics KIT710 
Geology 4 (Honours) B KEA426 
Aquaculture Technology KSM613 
Leadership for Change ESM707 
Fundamentals of Sonic Art FCF102 
Audio Post Production FCJ218 
Composition 1B FCM124 
Contemporary Acting Methods FPB330 
Literary Cultures HEN408 
Tax 1 LAW662 
Health Special Interest Project CNA109 
Leadership in Professional Practice Environments CNA428 
Advanced Electro-technology JNE311 
Principles of Statistics 3 KMA356 
"Master of Applied Science (Physics), Thesis B KYA709 "
Chemistry honours B KRA590 
Design Thinking and Methods KIT331 
Work Placement A ENG203 
Performance 2 FCA502 
Directed Study HGA407 
Family Law LAW682 
The Role of the Paraprofessional ESH162 
Teaching Design and Technologies ESH730 
Monitoring and Measuring Performance CNA419 
Developing and implementing 'Quality' Policy CNA421 
Introduction to Data Management CAM402 
Dissertation B (BEnvDes(Hons)) KDA478 
Algebra 3 KMA351 
Road Construction & Drainage Principles KNE550 
Computational Intelligence ENG335 
Fluid Mechanics 1 ENG704 
Project Planning and Evaluation BLD301 
Agribusiness Management ZAB101 
Topics in Music 1 FCA442 
Music Project 4 FCE303 
Drawing Ideas 1 FFD100 
Nero and Neronian Literature HTC337 
"Space, Site, Environment FFX216 "
"Space, Site, Environment FFX316 "
Data Handling and Statistics 1 XPD129 
Pathology of Common Diseases CXA212 
Management JNB517 
Advanced Marine Engineering (Steam) JNE318 
Learning by Making A KDA381 
Ores in Magmatic Arcs KEA706 
Crop Protection KLA311 
Entrepreneurship and Creativity BLD201 
Economics for Decision Making BAA610 
Education Project ESG747 
Topics in Music 2 FCA443 
Singer's Diction 2 FCB104 
Painting 3B FSP312 
Latin 1A HTL101 
"Recording, Mixing and Mastering FCJ221 "
Orthopaedic Nursing 1 CNA528 
Approaches to Intervention CNA549 
"Brain, Mind and Emotion KHA106 "
Industry Research Project JNB728 
Ores in Magmatic Arcs KEA707 
Geology 4 (Honours) C KEA427 
Geology 4 (Honours) D KEA428 
Fundamental Principles of Agriculture (B) ZAB202 
Design Critique ZAD201 
Contracts and Regulation ZAA146 
Printmaking: Media and Methods FFD208 
Bronze Casting FFS207 
Aboriginal Studies: Individual Research Project HAB412 
Addictive Behaviours KHA601 
Aquatic Animal Physiology and Behaviour JFA524 
Marine Machinery Maintenance and Repair JVE137 
BEnvSci Honours in Geography & Environmental Studies B KGA419 
Marine Mathematics I JNE124 
Operational Project JVD303 
Professional Practice Studio KGG304 
Conducting FCB312 
Art Practice A FFE113 
Typography FSG302 
Advanced German B HEG316 
Creativity and Ageing FXA101 
Introductory Biochemistry CXA125 
Integrated Health Care and Practice CXA317 
Thermal Engineering 2 KNE454 
Antarctic Science with Honours A KSA433 
Audio For The Real World FCJ219 
Contemporary Acting Methods FPB230 
Fictions of the Non/Human HEN309 
Modernism HEN313 
The Meaning of Life HPA209 
Health Policy HPP404 
Information Technology Law LAW670 
Digital Research Methods in the Humanities HTA424 
Principles of Economics 2 XPD104 
Chemistry 1B XPD134 
Applied Physiology CHP330 
Engineering Practicum JEE139 
Aquaculture Production Techniques JFA221 
Advanced Applied Mechanics JNE310 
Advanced Marine Thermodynamics JNE312 
Advanced Design Studio A KDA430 
Operations Management JND518 
Nautical Mathematics JND291 
Aquaculture Hatchery Production KSM614 
Fundamental Principles of Agriculture (A) ZAB201 
Body Adornment FFS251 
Body Adornment FFS351 
German Language Skills 4A HEG415 
Buddhist Philosophy HPA219 
International Environmental Law LAW610 
Paramedic Practice 8 CAA311 
Cell and Molecular Biochemistry CXA262 
Clinical Research Skills KHA710 
Exercise for the Whole of Life CXA219 
Marine Propulsion Systems JEE500 
Risk and Crisis Management JND508 
Economic Geology 4 (Honours) B KEA456 
Economic Geology 4 (Honours) D KEA458 
Economic Geology 4 (Honours) C KEA457 
Quality Systems Management JND519 
Marine Science Study Abroad KSM311 
Special Topics in Economics BEA474 
Design Investigators ZAD106 
Foundations of Literacy Support ESH160 
Implementing Practitioner Inquiry ESH398 
Composition 2B FCM224 
Adapted Physical Activity ESM745 
Arranging for Popular Music 2 FCA207 
Honours A CSA404 
Marketing JNB220 
Power Systems 1 ENG333 
Turnouts JEE156 
Leading People in the Workplace ZAA217 
Inventory Control and Warehousing ZAA118 
Printmaking: Media and Methods FFD308 
Contemporary Theatre Workshop A FPB138 
German 3A HEG313 
English 1A HEN101 
Evidence LAW422 
Applied Popular Music Theory 2 FCA103 
Clinical Chemistry 2 CXA352 
Maritime Economics JNB328 
Dissertation A (BEnvDes(Hons)) KDA477 
Work Term 2B JEE148 
Workforce Planning ZAA235 
Understanding Science ZAS112 
Leading Teaching and Learning ESM761 
Religion and Gender HAF228 
Religion and Gender HAF328 
Introductory Japanese (UCP) HMJ103 
Medication Management for Nurses CNA203 
Healthcare Quality and Safety: A Patient-Centred Approach CAM540 
Logistics Management JNB225 
Advanced Naval Architecture and Ship Construction JNE317 
Civil Systems Project B KNE382 
Biological Science Communication KPZ703 
Instrumental Chemistry KRA306 
Marine (Honours) A KSM424 
Channel Flow and Hydraulic Structures ENG712 
Teaching Religious Education ESH201 
Social and Emotional Wellbeing ESP217 
"Stand Up Comedy: 1, 2, 3, GO! FPB137 "
Social Work Thesis A HGW414 
Greek and Roman Mythology HTC223 
Greek and Roman Mythology HTC323 
Introduction to Management XPD109 
Conceptual Design and Communication XPD141 
Paramedic Practice 3 CAA201 
Exercise Nutrition CXA323 
Exercise for Neurological and Neuromuscular Disorders CXA415 
Applied Ocean Wave Mechanics JEE306 
Dissertation B JEE502 
Fisheries Management JFA542 
Chartering and Broking JNB250 
Security Awareness JVD174 
Light and Colour Studio KDA237 
Advanced Design Studio B KDA431 
Engineering Circuit Theory KNE122 
Dynamical Systems and Chaos KYA314 
Master of Applied Science (Food Safety) Thesis A KLA715 
Commercial Ship Management JNB534 
Production Horticulture ZAB207 
Conducting Professional Inquiry ESH704 
Bronze Casting FFS307 
The Physical of Theatre FPB332 
Sociology of Law HGA307 
Creative Writing Workshop 2 HEN204 
Understanding Science XPD121 
Advanced Discipline Studies in Midwifery CNA749 
Dissertation C JEE521 
Dissertation (Part 1 of 2) JFA715 
Dissertation (Part 2 of 2) JFA716 
Electrical and Electronics Design and Repair JVE131 
Healthy Interior Environments KDA320 
Fluid Mechanics 1 ENG313 
Entrepreneurship and Innovation BLD302 
Fisheries Economics BEA314 
Teaching in Rural and Remote Locations ESH374 
Honours Performance 2 FCZ463 
Advanced German A HEG315 
Creative Writing Workshop 3 HEN318 
Studio Practice 2B FFE202 
Research Project 1 FCZ404 
Research Project 2 FCZ405 
Honours Seminar on Nineteenth Century Tasmania HTA421 
Arts in the Community FXA301 
Introduction to Effective Communication in Health Studies CAD002 
Child and Adolescent Health CNA145 
Foundations of Active Living CXA003 
Theoretical Controversies in Psychology KHA452 
Research Thesis 1A KHA736 
Assessment in Counselling KHA789 
Task and Guided Study 1 & 2 JVE122 
Surveying 3 KGG320 
Control Systems 2 ENG432 
Aquaculture Production KSM610 
Professional Communication ZAA105 
Valuing the Volunteer ZAA214 
Product Design ZAD210 
Planning for Practice-Focused Mentoring ESM501 
Recording and Sound Reinforcement FCJ217 
Indonesian 3A HMN313 
Parliamentary Law and Practice LAW627 
Perspectives on Ageing CNA246 
Research Project in Drug Science CSA303 
Clinical Chemistry 2 CXA652 
Cell and Molecular Biochemistry CXA315 
Machinery Condition Analysis JVE133 
Wilderness Management KGA378 
Civil Systems Project A KNE381 
Engineering Design 1 ENG102 
Facility Management ZAA212 
English for Specific Purposes ESG722 
Children's Literature Studies ESH151 
Topic in Strategic Communication HEJ414 
Marine and Antarctic Politics HPP408 
Remedies LAW454 
Sentencing LAW688 
Professional Practice 3 KHA741 
Introduction to Aquaculture JFA106 
Research Methods JNB508 
Analysis of Observations KGG370 
Southern Ocean Zooplankton Ecology KSA715 
Marine Communications (Signals) JVD185 
Corporate Finance BEA651 
International Trade BEA703 
Coding for Web ZAD111 
Risk Management ZAA237 
Singer's Diction 1 FCB103 
Music Technology 1A FCJ117 
The Moving Image FSE258 
Research Thesis B HIR763 
Neurospeak understanding the nervous system CAD004 
Therapy and Interventions KHA611 
