code,title,uni,state
ARCH9106,Architectural Investigations: Models,University of Sydney,NSW
ARCH9109,Advanced Fabrication,University of Sydney,NSW
ARCH9110,Code to Production,University of Sydney,NSW
ARCH9112,Finding Country,University of Sydney,NSW
ARCH9113,Advanced Topics in Australian Architecture,University of Sydney,NSW
ARCO1000,Ancient People: Hunters and Farmers,University of Sydney,NSW
ARCO1001,Civilisations of the Ancient World,University of Sydney,NSW
ARCO2001,Ancient Australia: Diverse adaptations,University of Sydney,NSW
ARCO2002,Ancient Australia: Shape and Connection,University of Sydney,NSW
ARCO2007,Ancient Greece,University of Sydney,NSW
ARCO2008,Ancient Italy: Etruscans and Romans,University of Sydney,NSW
ARCO2009,Village to City in Ancient Western Asia,University of Sydney,NSW
ARCO2011,Growing Empires in Iron Age Western Asia,University of Sydney,NSW
ARCO2103,Archaeology: Time and Materiality,University of Sydney,NSW
ARCO2105,Ancient Mobility to Modern Megalopolis,University of Sydney,NSW
ARCO3002,Australian Forager Economies,University of Sydney,NSW
ARCO3005,Exploring the Silk Road,University of Sydney,NSW
ARCO3007,Minoans and Mycenaeans,University of Sydney,NSW
ARCO3012,The Archaeology of South Italy,University of Sydney,NSW
ARCO3101,"Archaeology: History, Theory, Research",University of Sydney,NSW
ARCO3401,Australian Lithic Technology (Project 1),University of Sydney,NSW
ARCO3402,Archaeozoology (Project 2),University of Sydney,NSW
ARCO3403,Iconography in Archaeology (Project 3),University of Sydney,NSW
ARCO3998,Industry and Community Project,University of Sydney,NSW
ARCO3999,Interdisciplinary Impact,University of Sydney,NSW
ARCO4104,Archaeological Research Themes,University of Sydney,NSW
ARCO4105,Archaeological Research Approaches,University of Sydney,NSW
AREC2005,Concepts in Enviro and Agricultural Economics,University of Sydney,NSW
AREC3002,Agricultural Markets,University of Sydney,NSW
AREC3003,Econ of Minerals and Energy Industries,University of Sydney,NSW
AREC3005,Agricultural Finance and Risk,University of Sydney,NSW
AREC3006,Agricultural Production Economics,University of Sydney,NSW
AREC3007,Benefit-Cost Analysis,University of Sydney,NSW
ARHT1001,Style and Substance: Introducing Art History,University of Sydney,NSW
ARHT1002,Shock of the Now: Global Art since 1900,University of Sydney,NSW
ARHT2602,Romanticism and Visual Art,University of Sydney,NSW
ARHT2611,Art and Experience in Renaissance Italy,University of Sydney,NSW
ARHT2618,"French Art, Salon to Cezanne",University of Sydney,NSW
ARHT2632,Modern Australian Art and Cinema,University of Sydney,NSW
ARHT2645,Arts in Imperial China,University of Sydney,NSW
ARHT2675,Fieldwork: Art at the Gallery,University of Sydney,NSW
ARHT2676,"Planetary Art: Nature, Ecology, Environment",University of Sydney,NSW
ARHT2677,"Art, Memory, and Identity",University of Sydney,NSW
ARHT2678,Islamic Art and Architecture,University of Sydney,NSW
ARHT3617,British Art and Empire,University of Sydney,NSW
ARHT3636,Contemporary Indigenous Art,University of Sydney,NSW
ARHT3663,Gender and Sexuality in Asian Art History,University of Sydney,NSW
ARHT3672,Fieldwork: Art and the City,University of Sydney,NSW
ARHT3675,Objects and Problems at Chau Chak Wing Museum,University of Sydney,NSW
ARHT3678,Arts of the Book in the Islamic World,University of Sydney,NSW
ARHT3998,Industry and Community Project,University of Sydney,NSW
ARHT3999,Interdisciplinary Impact,University of Sydney,NSW
ARHT4113,Art is the Issue: Histories and Theories,University of Sydney,NSW
ARHT4114,Vision and Frame: Art Encounters,University of Sydney,NSW
ARHT5902,Art Writing,University of Sydney,NSW
ARHT5908,The Business of Art,University of Sydney,NSW
ARHT6914,Art and Curatorship,University of Sydney,NSW
ARHT6923,Capstone Art Curating Internship,University of Sydney,NSW
ARHT6930,"Film Theory: Art, Industry, Culture",University of Sydney,NSW
ARHT6935,"The Art Museum: Past, Present and Future",University of Sydney,NSW
ARHT6936,"Biennales, Triennales and Contemporary Art",University of Sydney,NSW
ARHT6937,Curating Asian Art,University of Sydney,NSW
ARHT6942,Elective Art Curating Internship,University of Sydney,NSW
ARHT6953,Backstage at the Mitchell Library,University of Sydney,NSW
ARHT6956,Indigenising Museums:Theory and Practice,University of Sydney,NSW
ARHT6959,Curatorial Lab,University of Sydney,NSW
ARHT6960,Contemporary Curating,University of Sydney,NSW
ARIN2610,Internet Transformations,University of Sydney,NSW
ARIN2620,Everyday Digital Media,University of Sydney,NSW
ARIN3610,Technology and Culture,University of Sydney,NSW
ARIN3620,Researching Digital Cultures,University of Sydney,NSW
ARIN3630,Digital Arts,University of Sydney,NSW
ARIN3640,Games and Play,University of Sydney,NSW
ARIN3998,Industry and Community Project,University of Sydney,NSW
ARIN3999,Interdisciplinary Impact,University of Sydney,NSW
ARIN6902,Internet Cultures and Governance,University of Sydney,NSW
ARIN6903,Digital Media and Society,University of Sydney,NSW
ARIN6904,Mobile Media and Games,University of Sydney,NSW
ARIN6905,New Media Audiences,University of Sydney,NSW
ASNS1601,Introduction to Asian Cultures,University of Sydney,NSW
ASNS1602,"Asia: Past, Present, Future",University of Sydney,NSW
ASNS2002,Intro to Tibetan Language and Culture 2,University of Sydney,NSW
ASNS2011,A Survey of Buddhism,University of Sydney,NSW
ASNS2613,Chinese Thought,University of Sydney,NSW
ASNS2618,"Remaking Chinese Society, 1949-Present",University of Sydney,NSW
ASNS2625,Buddhism in Modern Asia,University of Sydney,NSW
ASNS2634,Samurai and Merchants: Tokugawa Japan,University of Sydney,NSW
ASNS2642,Modern Korea,University of Sydney,NSW
ASNS2661,History of Modern Indonesia,University of Sydney,NSW
ASNS2665,Understanding Southeast Asia,University of Sydney,NSW
ASNS2669,Field Study in Southeast Asia,University of Sydney,NSW
ASNS3001,Youth and Language in Southeast Asia,University of Sydney,NSW
ASNS3670,Mass Media in East Asia,University of Sydney,NSW
ASNS3690,Approaches to Research in Asian Studies,University of Sydney,NSW
ASNS3998,Industry and Community Project,University of Sydney,NSW
ASNS3999,Interdisciplinary Impact,University of Sydney,NSW
ASNS4113,Theory and Methods in Asian Studies,University of Sydney,NSW
ASNS4114,Engaging Asia,University of Sydney,NSW
ASNS6010,Asian Language Acquisition 1,University of Sydney,NSW
ASNS6011,Asian Language Acquisition 2,University of Sydney,NSW
ASNS6012,Asian Language Acquisition 3,University of Sydney,NSW
ASNS6013,Asian Language Acquisition 4,University of Sydney,NSW
ASNS6905,Asian Popular Culture,University of Sydney,NSW
ASNS6908,Media Industries in East Asia,University of Sydney,NSW
ATHK1001,Analytical Thinking,University of Sydney,NSW
AVBS1002,Concepts of Animal Management,University of Sydney,NSW
AVBS1003,Animals and Us,University of Sydney,NSW
AVBS2001,Introductory Veterinary Pathogenesis,University of Sydney,NSW
AVBS2004,Animal Nutrition,University of Sydney,NSW
AVBS2005,Animal Energetics and Homeostasis,University of Sydney,NSW
AVBS2007,Animal Structure and Function,University of Sydney,NSW
AVBS3000,Professional Development,University of Sydney,NSW
AVBS3001,Agents of Disease,University of Sydney,NSW
AVBS3004,Wildlife Conservation,University of Sydney,NSW
AVBS3005,Animal Health and Disease,University of Sydney,NSW
AVBS3008,Intensive Animal Industries,University of Sydney,NSW
AVBS3888,Laboratory Disease Investigations,University of Sydney,NSW
AVBS4002,Dairy Production and Technology,University of Sydney,NSW
AVBS4003,Wildlife and Evolutionary Genetics,University of Sydney,NSW
AVBS4012,Extensive Animal Industries,University of Sydney,NSW
AVBS4015,Research Project A,University of Sydney,NSW
AVBS4016,Research Project B,University of Sydney,NSW
AVBS4017,Research Project C,University of Sydney,NSW
AVBS4018,Research Project D,University of Sydney,NSW
AWSS1001,Architectural Sketching and Drawing,University of Sydney,NSW
AWSS1002,Sketching and Drawing the Built Environment,University of Sydney,NSW
AWSS2010,Arch and Design Material Processes (Ceramics),University of Sydney,NSW
AWSS2015,Generative Drawing,University of Sydney,NSW
AWSS2020,Object Design (Material and Light),University of Sydney,NSW
AWSS2023,Architectural Photography,University of Sydney,NSW
AWSS2026,2D Print Processes in Design,University of Sydney,NSW
AWSS2027,Arch and Design Material Processes (Casting),University of Sydney,NSW
BACH2142,Cognitive Neuropsychology,University of Sydney,NSW
BACH2143,Counselling and Behaviour Management for CD,University of Sydney,NSW
BACH3128,Health Professionals and Globalisation,University of Sydney,NSW
BACH3146,Cyberpsychology and e-Health,University of Sydney,NSW
BACH3147,Health at Work,University of Sydney,NSW
BADP1001,Empirical Thinking,University of Sydney,NSW
BADP2001,Algorithmic Architecture,University of Sydney,NSW
BADP2002,City Form and Development,University of Sydney,NSW
