Code,Title,Previously,Availability,Credit Points
ICT169,Foundations of Data Communications,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TMD-internalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT170,Foundations of Computer Systems,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internal",3
ICT1701,Foundations of Computer Systems,,"DUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internal",3
ICT171,Introduction to Server Environments and Architectures,,"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TMD-internal",3
ICT1711,Introduction to Server Environments and Architectures,,DUBAI-ISCDUBAI-ISC: TMD-internal,3
ICT228,Special Topics in Information Technology,,Not available,3
ICT283,Data Structures and Abstractions,,"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TMD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TMA-internal, TSA-internal",3
ICT284,Systems Analysis and Design,,"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TMD-internalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT285,Databases,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT286,Web and Mobile Computing,2014: 'Web Computing',"MURDOCHMURDOCH: S2-internal, S2-externalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT287,Computer Security,,"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT288,Virtual Realities and Games Software Design,,"MURDOCHMURDOCH: S1-internal, S1-externalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT289,Computer Graphics Principles and Programming,,"MURDOCHMURDOCH: S1-internal, S1-external",3
ICT290,Games Design and Programming,,"MURDOCHMURDOCH: S2-internal, S2-external",3
ICT291,Network Design and Implementation,,MURDOCHMURDOCH: S1-internal,3
ICT292,Information Systems Management,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TMD-internalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT301,Enterprise Architectures,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT302,IT Professional Practice Project,,"MURDOCHMURDOCH: S1-internal, S1-external, S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TMD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TMA-internal, TSA-internal",3
