course_name,course_code,meta,meta_second
"Oral Language, Literacy & Learning",EDUC90507,"Offered March, 2020","Graduate coursework, 12.5 credit points "
AA Visiting School Undergraduate,ABPL30063,"Offered June, 2020","Undergraduate Level 3, 12.5 credit points "
Learning Area English 1,EDUC90437,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
BioSciences Research Project Part 4,BIOL90019,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 50 credit points "
Linear Models,POPH90120,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Grattan Street Press,PUBL90015,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Design Processes and Principles A,FLTV90003,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Contemporary Challenges and Islam,ISLM30017,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Conducting,MUSI40036,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Sustainable Landscapes,ENST90043,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Special Study,DNCE30002,"Offered Semester 1 (Early-Start), 2020","Undergraduate Level 3, 12.5 credit points "
Studio Practice 2,FINA70009,"Offered Semester 2, 2020","Graduate coursework Level 7, 37.5 credit points "
The Dynamics of Scientific Change,HPSC40016,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Foundations in Neonatal Care,NURS90117,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Biochemistry in Agricultural Systems,AGRI20043,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Investment Management,FNCE90056,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
UM-NUS Ethics and Professional Issues,PSYC90090,"Offered Semester 1, 2020","Study Abroad (Level 9), 12.5 credit points "
Process Engineering,CHEN90013,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Impact Evaluation,EDUC90849,"Offered Term 1, 2020","Graduate coursework, 12.5 credit points "
Spanish & Latin American Thesis Part 1,SPAN40007,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Music Performance 2D,MUSI10012,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 1, 6.25 credit points "
Dance Technique Extension 5,DNCE30022,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 3, 6.25 credit points "
Studio Materials and Methods B,FINA60010,"Offered Semester 2, 2020","Graduate coursework Level 6, 6.25 credit points "
Cultural Management Project Part 1,AMGT90025,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Young People in Context,POPH90167,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
