course_name,course_code,meta,meta_second
Social Research Methods,NRMT40005,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Final Capstone Project,MGMT90246,"Offered Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
Assessing Risk and Vulnerability,SCWK90054,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Major Research Project Part 2,AGRI90082,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Criminology Thesis Part 2,CRIM40009,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Research Studies in Vision and Optometry,OPTO90025,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Professional Pathway Investigation A,THTR30030,"Offered Semester 1, 2020","Undergraduate Level 3, 12.5 credit points "
Applied Analytics Capstone Part 2,MGMT90251,"Offered Term 4, 2020","Graduate coursework, 12.5 credit points "
Urban Horticulture Internship,HORT20029,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Russian Thesis Part 2,RUSS40010,"Offered Semester 2, 2020","Honours, 25 credit points "
Applied Ethics Thesis Part 2,PHIL90039,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Mechanisms of Human Disease,PATH30001,"Offered Semester 1, 2020","Undergraduate Level 3, 12.5 credit points "
Computer Science Research Project Pt3,COMP90068,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
BioSciences Minor Research Project Part1,BIOL90028,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 12.5 credit points "
Veterinary Bioscience 2A,VETS90064,"Offered Semester 1, 2020","Graduate coursework, 18.75 credit points "
Entrepreneurial Organisation Foundations,MGMT90227,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Political Advising,PADM90017,"Offered May, 2020","Graduate coursework, 12.5 credit points "
Climate Change:Agric.Impacts&Adaptation,AGRI90057,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Earth Sciences Research Project Pt3,ERTH90044,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
The Power of Ideas: Ten Great Books,ARTS90004,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Health Promotion and Young People,POPH90173,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Brass Ensemble 2,MUSI10053,"Offered Semester 2, 2020","Undergraduate Level 1, 6.25 credit points "
International Trade,ECON90019,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research in Practice,NURS90103,"Offered Semester 1, 2020","Graduate coursework, 25 credit points "
Designing a Curriculum,EDUC90516,"Offered Semester 1 (Early-Start), July, 2020","Graduate coursework, 12.5 credit points "
Topics in Insurance and Finance,ACTL90021,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Leading a Learning Community,EDUC90139,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Learning Area Media Studies 2,EDUC90462,"Offered Semester 2 (Extended), 2020","Graduate coursework, 12.5 credit points "
Frontiers in Genomics,GENE90024,"Offered Semester 2, 2020","Graduate coursework, 6.25 credit points "
Introduction to Primary Care Research,GENP40002,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Climate Change Mitigation,ENST90033,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Disputes and Ethics,LAWS90140,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research Paper (Production),THTR40010,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Intercultural Professional Communication,ESLA90004,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Intensive Care Nursing 2,NURS90127,"Offered September, 2020","Graduate coursework, 6.25 credit points "
EMA Special Project (Year Long) Part 1,MGMT90235,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
International Trade and Competition Law,LAWS90095,"Offered May, 2020","Graduate coursework, 12.5 credit points "
Sustainability Reporting & Management,ACCT90031,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Islamic Studies Thesis Part 2,ISLM40012,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Agric.Science Research Project Part 2,AGRI40018,"Offered Semester 2, 2020","Honours, 50 credit points "
Infections and Immunity A,VETS90099,"Offered Semester 1, 2020","Graduate coursework, 18.75 credit points "
UNott:The Contemporary World Since 1945,HIST20062,"Offered January, 2020","Exchange (Level 2), 12.5 credit points "
Design Realisation 3B,THTR30023,"Offered Semester 2, 2020","Undergraduate Level 3, 18.75 credit points "
LAL Thesis Part 2,LING40016,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Internship for Agricultural Sciences Pt2,AGRI90084,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
MPhil Research,BMEN70001,"Offered Time-based Research, 2020",Masters time-based research
Food Science Research Project Part 1,FOOD40002,"Offered Semester 2, 2020","Honours, 50 credit points "
LundU: Globalisation and Culture,CULS20013,"Offered November, 2020","Exchange (Level 2), 12.5 credit points "
Groundwater Hydrology,ENEN90030,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Applications in Animal Health A,VETS90060,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Animal Sci & Mgt Research Project Part 2,ANSC40002,"Offered Semester 2, 2020","Honours, 50 credit points "
Honours Japanese A,JAPN40001,"Offered Semester 1, 2020","Honours, 12.5 credit points "
China and the Environment,ASIA90016,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Executive Leadership and Management,PPMN90006,"Offered March, Semester 2, 2020","Graduate coursework, 25 credit points "
"Identity, Ideology & Nationalism in Asia",ASIA30002,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Advanced Clinical Skills 2 Part B,VETS90049,"Offered February, Semester 2 (Extended), 2020","Graduate coursework, 18.75 credit points "
Foundations of Spatial Information,GEOM90008,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Artificial Intelligence for Mechatronics,MCEN90048,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Screen & Cultural Studies Thesis Part 2,SCRN40018,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Information Systems Maj Res Project Pt 2,ISYS90106,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 37.5 credit points "
Musculoskeletal Disorders in Women,PHTY90097,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Gender and Development Thesis Part 2,GEND90012,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Applied Clinical Training,OPTO90023,"Offered Year Long, 2020","Graduate coursework, 75 credit points "
Principles of Clinical Practice 3 (Oslo),MEDS90028,"Offered Semester 2 (Extended), 2020","Graduate coursework, 50 credit points "
UQLD:International Peacekeeping,XNTS20035,"Offered Semester 1, 2020","Cross-institutional (Level 2), 12.5 credit points "
Planetary and Global Health,POPH90230,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Public Policy & Management Thesis Part 2,PPMN40007,"Offered Semester 2, 2020","Undergraduate Level 4, 18.75 credit points "
Ecosystem & Forest Science Research Pt1,NRMT40013,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Honours, 37.5 credit points "
Physiology Research Project Part 2,PHYS40006,"Offered Semester 2, 2020","Honours, 50 credit points "
Architecture Design Studio: Air,ABPL30048,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Research Proposal,DENT90108,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Sustainable Business Practices,MGMT90208,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Building Envelopes,ABPL90268,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Clinical Neuroscience Research,CLRS90016,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Project Management,MGMT90031,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Learning Area History 1,EDUC90443,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Constructed Ecologies,ABPL90263,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Agribusiness Management Economics,AGRI90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Introduction to Conservation Treatment,CUMC90028,"Offered April, 2020","Graduate coursework, 12.5 credit points "
Landscape Ecology,FRST90015,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Behaviour & Leadership in Organisations,MGMT90040,"Offered November, 2020","Graduate coursework, 12.5 credit points "
Foundations of Finance,FNCE90002,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Industry Perspectives,FLTV10013,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Banking and Secured Finance,LAWS70206,"Offered May, 2020","Graduate coursework Level 7, 12.5 credit points "
Implementing Evidence for Practice,NURS90070,"Offered Term 4, 2020","Graduate coursework, 12.5 credit points "
Dilemmas in Journalism: Law and Ethics,JOUR90006,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Shifting Paradigms in Ageing,POPH90273,"Offered Term 1, 2020","Graduate coursework, 12.5 credit points "
Performance Design Studio,FINA30024,"Offered Semester 2, 2020","Undergraduate Level 3, 25 credit points "
Paediatric Palliative Care,NURS90065,"Offered July, 2020","Graduate coursework, 12.5 credit points "
"Oral Language, Literacy & Learning",EDUC90507,"Offered March, 2020","Graduate coursework, 12.5 credit points "
AA Visiting School Undergraduate,ABPL30063,"Offered June, 2020","Undergraduate Level 3, 12.5 credit points "
Learning Area English 1,EDUC90437,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
BioSciences Research Project Part 4,BIOL90019,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 50 credit points "
Linear Models,POPH90120,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Grattan Street Press,PUBL90015,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Design Processes and Principles A,FLTV90003,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Contemporary Challenges and Islam,ISLM30017,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Conducting,MUSI40036,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Sustainable Landscapes,ENST90043,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Special Study,DNCE30002,"Offered Semester 1 (Early-Start), 2020","Undergraduate Level 3, 12.5 credit points "
Studio Practice 2,FINA70009,"Offered Semester 2, 2020","Graduate coursework Level 7, 37.5 credit points "
The Dynamics of Scientific Change,HPSC40016,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Foundations in Neonatal Care,NURS90117,"Offered September, 2020","Graduate coursework, 12.5 credit points "
Biochemistry in Agricultural Systems,AGRI20043,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Investment Management,FNCE90056,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
UM-NUS Ethics and Professional Issues,PSYC90090,"Offered Semester 1, 2020","Study Abroad (Level 9), 12.5 credit points "
Process Engineering,CHEN90013,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Impact Evaluation,EDUC90849,"Offered Term 1, 2020","Graduate coursework, 12.5 credit points "
Spanish & Latin American Thesis Part 1,SPAN40007,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Music Performance 2D,MUSI10012,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 1, 6.25 credit points "
Dance Technique Extension 5,DNCE30022,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 3, 6.25 credit points "
Studio Materials and Methods B,FINA60010,"Offered Semester 2, 2020","Graduate coursework Level 6, 6.25 credit points "
Cultural Management Project Part 1,AMGT90025,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Young People in Context,POPH90167,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Neuropsychology Placement 2A,PSYC90079,"Offered Year Long, 2020","Graduate coursework, 18.75 credit points "
Learning Area Legal Studies 2,EDUC90962,"Offered Semester 2 (Extended), 2020","Graduate coursework, 12.5 credit points "
Foundations of Agricultural Sciences 1,AGRI10045,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Applied Ethics Thesis Part 1,PHIL90038,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Advanced Clinical Practice 3,DENT90037,"Offered Semester 1, 2020","Graduate coursework, 18.75 credit points "
ExLab: Robotic Clay 3D Printing,ABPL90412,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Taxation of Mergers and Acquisitions,LAWS70331,"Offered October, 2020","Graduate coursework Level 7, 12.5 credit points "
Urban and Cultural Heritage Minor Thesis,ABPL90382,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Engineering Site Characterisation,CVEN90044,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Historical Thinking,EDUC90740,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Managing Change for IS Professionals,ISYS90040,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Graduate French A,FREN90003,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Early Voices 1,MUSI10056,"Offered Semester 1, 2020","Undergraduate Level 1, 6.25 credit points "
Cyber Security Management,ISYS90090,"Offered Term 3, 2020","Graduate coursework, 12.5 credit points "
Development and Differences,EDUC90228,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Clinical Practicum: Families,PSYT90040,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Business Process Management,ISYS90081,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Garage Project,MGMT90224,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Competition in Digital Markets,LAWS90171,"Offered November, 2020","Graduate coursework, 12.5 credit points "
Disorders of Fluency,AUDI90036,"Offered Semester 1, 2020","Graduate coursework, 6.25 credit points "
Critical Thinking with Analytics,MAST90130,"Offered Term 1, Term 3, 2020","Graduate coursework, 12.5 credit points "
The Writing of Australian History,HIST90023,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Behavioural Research in Accounting,ACCT90039,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Molecular and Cellular Neuroscience B,NEUR90012,"Offered March, 2020","Graduate coursework, 6.25 credit points "
Stem Cells in Development & Regeneration,CEDB30004,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Materials,MCEN90014,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Microbiology in Agriculture,AGRI20044,"Offered Semester 1, 2020","Undergraduate Level 2, 12.5 credit points "
Dance Technique 5,DNCE30011,"Offered Semester 1 (Early-Start), 2020","Undergraduate Level 3, 12.5 credit points "
Emerging Markets Finance,FNCE90064,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Fieldwork for Design,INFO90006,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Expert Evidence,LAWS70073,"Offered June, 2020","Graduate coursework Level 7, 12.5 credit points "
Foundations of Cancer,MEDI90084,"Offered Term 1, Term 3, 2020","Graduate coursework, 12.5 credit points "
Environmental Research Review (12.5),ENST90006,"Offered Summer Term, Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
UM-NUS Clinical Health Psychology,PSYC90086,"Offered Semester 2, 2020","Study Abroad (Level 9), 6.25 credit points "
"Pictures, Sounds, Words",FLTV10014,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Foundations of Parent and Liaison Work,PSYT90039,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Computational Economics,ECON90055,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Biomedical Engineering Management,BMEN90019,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Twenty-first Century Architecture,ABPL90117,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Scriptwriting 1,FLTV70017,"Offered Year Long, 2020","Graduate coursework Level 7, 25 credit points "
Program Planning and Evaluation,SCWK90056,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Individual Research Project,BUSA90504,"Offered August, 2020","Graduate coursework, 25 credit points "
Research Project Part 2,MAST90120,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
"City Cultures, Urban Ecologies",CULS30005,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
EMA Special Project,MGMT90164,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Domestic and Family Violence,HLTH90007,"Offered Term 2, Term 4, 2020","Graduate coursework, 12.5 credit points "
Design Realisation and Collaboration B,FLTV90008,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Chemistry Research Project Pt 3,CHEM90032,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
Leading in Data Driven Organisations,MGMT90244,"Offered August, 2020","Graduate coursework, 12.5 credit points "
"Congenital,Obsetric& Medical Conditions",MEDI90047,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Electronic System Design,ELEN90053,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Bioinformatics Research Project Pt 3,BINF90010,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 25 credit points "
Dissertation Part 1,MUSI40104,"Offered Semester 1, Semester 2, 2020","Honours, 18.75 credit points "
Fundamentals of Surgery I,SURG90023,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Supply Chain Analysis,MGMT90122,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Impact of Digitisation,ISYS90051,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Practical Study 1,MUSI40016,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 4, 12.5 credit points "
Mathematics for Economists,ECON40017,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Managing IT Professionals,ISYS90091,"Offered Term 4, 2020","Graduate coursework, 12.5 credit points "
Project in Neuroscience,NEUR90016,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Animal Disease Biotechnology 2,ANSC30002,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Human Rights: Global Policy and Practice,LAWS90175,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Child and Family Welfare,SCWK90039,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Insurance Risk Models,ACTL90004,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
TDM: Enterprise & Business in the World,IBUS20005,"Offered January, August, 2020","Exchange (Level 2), 12.5 credit points "
Independent Studies in Speech Pathology,AUDI90040,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
Interpretivist Research in Music Therapy,MUSI90045,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Primary Mathematics Education 2,EDUC90773,"Offered July, 2020","Graduate coursework, 6.25 credit points "
Band Direction,MUSI90015,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
China Field Class PG,GEOG90007,"Offered June, 2020","Graduate coursework, 25 credit points "
Dance Industry Project,DNCE30019,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Undergraduate Level 3, 6.25 credit points "
Learning Area Biology 1,EDUC90429,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Advanced Consumer Behaviour,MKTG90023,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Technology and Language Learning,LING90006,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Principles of Dental Practice 2,DENT90122,"Offered January, 2020","Graduate coursework, 18.75 credit points "
Artificial Intelligence and the Law,LAWS90145,"Offered March, November, 2020","Graduate coursework, 12.5 credit points "
Biomaterials,BMEN90023,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Individual Performance Studies 2,MUSI10197,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 1, 12.5 credit points "
Life Insurance Models I,ACTL90006,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Economics of Finance,ECON90034,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Sports Dispute Resolution,LAWS70376,"Offered April, 2020","Graduate coursework Level 7, 12.5 credit points "
Minor Music Performance 4,MUSI30051,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 6.25 credit points "
Affective Publics,CULS90009,"Offered July, 2020","Graduate coursework, 6.25 credit points "
Global Business Practicum,BUSA90485,"Offered January, June, November, 2020","Graduate coursework, 12.5 credit points "
Learning Area Languages 1,EDUC90453,"Offered Semester 1 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Comparative Urban Planning,PLAN90002,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Professional Practice and Seminar Prim 3,EDUC90489,"Offered Semester 1 (Extended), Semester 2, 2020","Graduate coursework, 12.5 credit points "
Writing and Rewriting,FLTV70044,"Offered Semester 1, 2020","Graduate coursework Level 7, 37.5 credit points "
Management Systems for Construction,CONS90001,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Financial Institutions,BUSA90090,"Offered April, June, 2020","Graduate coursework, 12.5 credit points "
Introduction to Statistical Computing,MAST90101,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Knowledge Management Systems,ISYS90035,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Pharmacology for Health Professionals,PHRM90002,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Research Project in Ecosystem Sci Part 1,EVSC90027,"Offered Semester 1 (Extended), Semester 2 (Extended), 2020","Graduate coursework, 25 credit points "
Arts for Health and Wellbeing,CREA90002,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Professional Ethics Thesis Part 1,PHIL90036,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 18.75 credit points "
Professional Veterinary Practice,VETS40018,"Offered Year Long, 2020","Undergraduate Level 4, 100 credit points "
Clinical Sexual & Reproductive Health,POPH90070,"Offered May, 2020","Graduate coursework, 12.5 credit points "
Cross Cultural Management and Teamwork,IBUS90004,"Offered March, August, 2020","Graduate coursework, 12.5 credit points "
Chamber Choir 5,MUSI30244,"Offered Semester 1, 2020","Undergraduate Level 3, 6.25 credit points "
Paediatric Intensive Care Nursing 1,NURS90085,"Offered March, 2020","Graduate coursework, 12.5 credit points "
Shorter Thesis - International Justice,INTS70001,"Offered Time-based Research, 2020","Masters time-based research, 0 credit points "
Basic Interventions,PSYC90006,"Offered Semester 1, 2020","Graduate coursework, 6.25 credit points "
Leadership for an Ageing Workforce,POPH90266,"Offered Term 3, 2020","Graduate coursework, 12.5 credit points "
Negotiating Environmental Agreements,LAWS90114,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Related Studies Painting,FINA10028,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Corporations Law,LAWS50035,"Offered Semester 2, 2020","Graduate coursework Level 5, 12.5 credit points "
Advanced Case Studies Practicum,MEDI90048,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Engineering Management Capstone,ENGM90016,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Design Processes and Principles B,FLTV90007,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Indigenous Research,MULT90022,"Offered July, 2020","Graduate coursework, 25 credit points "
Satellite Positioning Systems,GEOM90033,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Bioethics and Public Health,POPH90270,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Individual Performance Studies 6,MUSI30228,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Flexible Urban Modelling,ABPL90304,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Research Design 2,DENT90032,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Advanced Editing for Digital Media,PUBL90009,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Fundamentals of Geological CO2 Storage,GEOL90043,"Offered Winter Term, 2020","Graduate coursework, 6.25 credit points "
Topics in Contemporary Epistemology,PHIL40018,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Working in Human Service Organisations,SCWK90070,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Research Methods (Dance),DNCE40005,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Basics of Digital Health for Clinicians,HLTH90006,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Development and Inequality,DEVT90062,"Offered June, 2020","Graduate coursework, 12.5 credit points "
Inclusive Policy Development,SOCI90012,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Asian Studies Thesis Part 1,ASIA40004,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Supervised Reading (Asia Institute),MULT90002,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Business and Legal Translation,TRAN90020,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Corporate Financial Policy,FNCE90018,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Art and Cultural Management in Asia,AMGT50001,"Offered February, 2020","Graduate coursework Level 5, 12.5 credit points "
Global Business Economics,BUSA90074,"Offered January, April, June, 2020","Graduate coursework, 12.5 credit points "
Healthcare Research-Principles & Designs,HLTH90014,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Music Performance Curriculum& Assessment,MUSI90151,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Dance Technique 4,DNCE20018,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 2, 12.5 credit points "
Wines of the World,EURO20009,"Offered February, July, 2020","Undergraduate Level 2, 12.5 credit points "
Music Performance 5D,MUSI30215,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 6.25 credit points "
Issues in Linguistic Research,LING40002,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Particle Mechanics and Processing,CHEN90018,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Social Policy for Social Work Practice,SCWK90065,"Offered February, 2020","Graduate coursework, 12.5 credit points "
Negotiations,LAWS50131,"Offered Summer Term, December, 2020","Graduate coursework Level 5, 12.5 credit points "
Supportive Care and Palliative Care,MEDI90085,"Offered Term 2, 2020","Graduate coursework, 12.5 credit points "
Data Science Research Project Pt2,MAST90109,"Offered Summer Term, Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
"Sexualities, Gender, Activism and Law",LAWS90190,"Offered November, 2020","Graduate coursework, 12.5 credit points "
Specialist Mental Health Nursing,NURS90077,"Offered Term 1, 2020","Graduate coursework, 12.5 credit points "
Advanced Topics in Pharmacology,PHRM40002,"Offered Semester 1 (Early-Start), 2020","Honours, 12.5 credit points "
Connecting and Engaging Students,EDUC90822,"Offered January, 2020","Graduate coursework, 6.25 credit points "
Performance 6,MUSI30253,"Offered Semester 1, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
Advanced Human Resource Management,MGMT90193,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Japanese Thesis Part 1,JAPN40008,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Social Research Design and Evaluation,SOCI90005,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Geography Minor Research Project Part 2,GEOG90033,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 37.5 credit points "
Labour Economics,ECON40008,"Offered Semester 2, 2020","Honours, 12.5 credit points "
Arts Internship,MULT30019,"Offered Summer Term, Semester 1, Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
"Teaching in, through and across the Arts",EDUC90971,"Offered July, 2020","Graduate coursework, 12.5 credit points "
