code,title,credit,location,area
ARTS1631,Introductory Japanese B,6,Sydney,Arts
ARTS1660,Introductory Korean A,6,Sydney,Arts
ARTS1661,Introductory Korean B,6,Sydney,Arts
ARTS1690,The Structure of Language,6,Sydney,Arts
ARTS1691,The Use of Language,6,Sydney,Arts
ARTS1750,Introduction to Global Development,6,Sydney,Arts
ARTS1753,"Culture, Experience and Change",6,Sydney,Arts
ARTS1780,Concepts of Europe,6,Sydney,Arts
ARTS1782,Contemporary Europe in Crisis: Power and Culture,6,Sydney,Arts
ARTS1810,Foundations of Politics and International Relations,6,Sydney,Arts
ARTS1811,Contemporary Issues in Government and Global Politics,6,Sydney,Arts
ARTS1846,"Politics, Peace and Prosperity",6,Sydney,Arts
ARTS1870,Rethinking the Social,6,Sydney,Arts
ARTS1900,Gendered Worlds: Introduction to Women's and Gender Studies,6,Sydney,Arts
ARTS2020,Creative Writing,6,Sydney,Arts
ARTS2021,Creative Writing Project,6,Sydney,Arts
ARTS2031,Australian Literature,6,Sydney,Arts
ARTS2033,Poetry and Poetics,6,Sydney,Arts
ARTS2034,Shakespearean Drama,6,Sydney,Arts
ARTS2035,American Literature: Past and Present,6,Sydney,Arts
ARTS2036,Modernism: Text and Screen,6,Sydney,Arts
ARTS2040,"Global Literatures: Adventures with the ""Contemporary Classic""",6,Sydney,Arts
ARTS2041,What is Reading?,6,Sydney,Arts
ARTS2050,Academic Writing for the Humanities,6,Sydney,Arts
ARTS2061,Contemporary Approaches to Cinema,6,Sydney,Arts
ARTS2062,Australian Cinema,6,Sydney,Arts
ARTS2063,National Cinemas,6,Sydney,Arts
ARTS2064,A Case Study of Film Genre,6,Sydney,Arts
ARTS2065,Screen Production II,6,Sydney,Arts
ARTS2066,Writing for the Screen,6,Sydney,Arts
ARTS2091,Mobile Cultures,6,Sydney,Arts
ARTS2092,"Global Media: Markets, Flows and Cultures",6,Sydney,Arts
ARTS2093,Social Media,6,Sydney,Arts
ARTS2094,Visual Communication,6,Sydney,Arts
ARTS2095,Digital Technologies and the Self,6,Sydney,Arts
ARTS2096,"Media Rights, Media Wrongs",6,Sydney,Arts
ARTS2120,Writing for Performance,6,Sydney,Arts
ARTS2121,Theatre in Our Times,6,Sydney,Arts
ARTS2122,Performance Production,6,Sydney,Arts
ARTS2123,"Musicals, Dance and Popular Culture",6,Sydney,Arts
ARTS2125,Acting and Performing,6,Sydney,Arts
ARTS2126,Reviewing the Arts,6,Sydney,Arts
ARTS2127,Great Plays,6,Sydney,Arts
ARTS2128,Art and Social Change,6,Sydney,Arts
ARTS2129,Cultural Performance and Digital Cultures: Creative Production in Metro Manila,6,Sydney,Arts
ARTS2150,The Making of Trump's America,6,Sydney,Arts
ARTS2210,"Modern India: Violence and Nonviolence in Colonial South Asia, 1750-1947",6,Sydney,Arts
ARTS2211,East Asia,6,Sydney,Arts
ARTS2212,Southeast Asia,6,Sydney,Arts
ARTS2213,Asian Popular Culture,6,Sydney,Arts
ARTS2240,"Environment, Sustainability and Development",6,Sydney,Arts
ARTS2242,The Politics of Climate Change,6,Sydney,Arts
ARTS2243,Waste and Society,6,Sydney,Arts
ARTS2244,"Rethinking Wildlife: Philosophy, Biodiversity, Extinction",6,Sydney,Arts
ARTS2248,Disasters and Society,6,Sydney,Arts
ARTS2249,Environmental Philosophy,6,Sydney,Arts
ARTS2270,Australia 1788-1900: Invasion to White Australia,6,Sydney,Arts
ARTS2271,Inventing Modern Australia: 1900 to Now,6,Sydney,Arts
ARTS2272,"The European World, 1500-1800",6,Sydney,Arts
ARTS2281,Ancient Egypt and Western Asia,6,Sydney,Arts
ARTS2282,Rome,6,Sydney,Arts
ARTS2283,Classical Greece,6,Sydney,Arts
ARTS2285,"The Holocaust: Origins, Implementation, Aftermath",6,Sydney,Arts
ARTS2360,Knowledge and Reality,6,Sydney,Arts
ARTS2361,Philosophy of Mind and Psychology,6,Sydney,Arts
ARTS2362,Alienation and Social Critique,6,Sydney,Arts
ARTS2363,Chinese Philosophy,6,Sydney,Arts
ARTS2374,Ways of Reasoning,6,Sydney,Arts
ARTS2375,Philosophical Logic,6,Sydney,Arts
ARTS2383,Ethics: Theory and Practice,6,Sydney,Arts
ARTS2384,Political Philosophy,6,Sydney,Arts
ARTS2450,Intermediate Chinese for Non-Background Speakers A,6,Sydney,Arts
ARTS2451,Intermediate Chinese for Non-Background Speakers B,6,Sydney,Arts
ARTS2452,Chinese English Translation,6,Sydney,Arts
ARTS2453,Chinese Cinema,6,Sydney,Arts
ARTS2455,Gender in China,6,Sydney,Arts
ARTS2457,China Imagined and Perceived,6,Sydney,Arts
ARTS2458,"Along the Silk Road: Conquerors, Traders and Explorers",6,Sydney,Arts
ARTS2461,Intermediate Chinese for Background Speakers A,6,Sydney,Arts
ARTS2462,Intermediate Chinese for Background Speakers B,6,Sydney,Arts
ARTS2464,Chinese Ideas of Beauty and Erotica: Ancient to Modern,6,Sydney,Arts
ARTS2480,Intermediate French A,6,Sydney,Arts
ARTS2481,Intermediate French B,6,Sydney,Arts
ARTS2482,French Cinema and Society,6,Sydney,Arts
ARTS2485,Exploring French Linguistics,6,Sydney,Arts
ARTS2487,French Popular Culture,6,Sydney,Arts
ARTS2510,Intermediate German A,6,Sydney,Arts
ARTS2511,Intermediate German B,6,Sydney,Arts
ARTS2542,"Gods, Heroines and Heroes in Greek Myth",6,Sydney,Arts
ARTS2570,Intermediate Spanish A,6,Sydney,Arts
ARTS2571,Intermediate Spanish B,6,Sydney,Arts
ARTS2630,Intermediate Japanese A,6,Sydney,Arts
ARTS2631,Intermediate Japanese B,6,Sydney,Arts
ARTS2660,Intermediate Korean A,6,Sydney,Arts
ARTS2661,Intermediate Korean B,6,Sydney,Arts
ARTS2663,Korea and Japan: Chinese Cultural Transmission,6,Sydney,Arts
ARTS2690,Semantics and Pragmatics,6,Sydney,Arts
