code,title
AHIS3304,Field Methods of Archaeology
AHIS6100,Ancient Languages Foundation
AHIS6200,Ancient Language Studies: Foundation in Ancient Language
AHIS6201,Ancient Historiographical and Historical Studies: Foundation
AHIS6202,Archaeological and Historical Studies: Foundation in Archaeology or History
AHIS7000,Advanced Studies in Ancient History
AHIS7001,Advanced Studies in Ancient History and Archaeology: Material Worlds
AHIS8000,Capstone Advanced Project
AHIS8210,History Writing in Antiquity: Herodotus and Thucydides
AHIS8211,The Athenian Empire 510-404 BC
AHIS8213,Egypt: Alexander to Augustus
AHIS8221,Caravan Cities
AHIS8230,City of Constantine
AHIS8241,The Jews from the Maccabees to Bar Kochba
AHIS8252,Egypt in the Age of Akhenaten and Tutankhamun
AHIS8261,Monasticism in Egypt
AHIS8320,Under the Shadow of Vesuvius: Archaeology in Ancient Campania
AHIS8990,Master of Research - Ancient History
AHIX1110,Ancient Greek A
AHIX1120,Latin A
AHIX1140,Ancient Hebrew A
AHIX1200,Myth in the Ancient World
AHIX1220,The Fall of the Roman Republic
AHIX1240,Ancient Israel and the Near East
AHIX2050,Biblical and Near Eastern Literature and History
AHIX2230,From Constantine to Theoderic: The Roman World Transformed
AHIX3210,Alexander the Great to Cleopatra: The Hellenistic Age
AHIX3212,Sparta and Greece: Archaic and Classical
AHIX3223,Frontiers and Empires: Conflict and Diplomacy in the Ancient World
AHIX6100,Ancient Languages Foundation
AHIX6200,Ancient Language Studies: Foundation in Ancient Language
AHIX6201,Ancient Historiographical and Historical Studies: Foundation
AHIX6202,Archaeological and Historical Studies: Foundation in Archaeology or History
AHIX8000,Capstone Advanced Project
AHIX8210,History Writing in Antiquity: Herodotus and Thucydides
AHIX8211,The Athenian Empire 510-404 BC
AHIX8213,Egypt: Alexander to Augustus
AHIX8221,Caravan Cities
AHIX8230,City of Constantine
AHIX8241,The Jews from the Maccabees to Bar Kochba
AHIX8252,Egypt in the Age of Akhenaten and Tutankhamun
AHIX8261,Monasticism in Egypt
AHIX8320,Under the Shadow of Vesuvius: Archaeology in Ancient Campania
AIHI8990,Master of Research - Health Innovation
ANAT1001,Introduction to Anatomy
ANAT1002,Anatomy of Limbs and Back
ANAT2003,"Anatomy of Head, Neck and Trunk"
ANAT2004,Neuroanatomy
ANAT7910,Forensic Anthropology
ANAT7911,Anatomical Dissection
ANTH1006,Drugs Across Cultures
ANTH1007,"Saints, Shamans, Cults and Demons: The Anthropology of Contemporary Religions"
ANTH1050,Identity and Difference: Introduction to Anthropology
ANTH1051,Human Evolution and Diversity
ANTH2002,Illness and Healing
ANTH2003,Food Across Cultures
ANTH2004,Anthropology of Art and Material Culture
ANTH2007,Psychological Anthropology
ANTH2010,"Culture, Myth and Religion"
ANTH2021,Development Studies: The Anthropology of International Aid
